OBJECTID,National Risk Index ID,State Name,State Name Abbreviation,State FIPS Code,County Name,County Type,County FIPS Code,State-County FIPS Code,Census Tract,Census Tract FIPS Code,Population (2020),Building Value ($),Agriculture Value ($),Area (sq mi),Ice Storm - Number of Events,Ice Storm - Annualized Frequency,Ice Storm - Exposure - Impacted Area (sq mi),Ice Storm - Exposure - Building Value,Ice Storm - Exposure - Population,Ice Storm - Exposure - Population Equivalence,Ice Storm - Exposure - Total,Ice Storm - Historic Loss Ratio - Buildings,Ice Storm - Historic Loss Ratio - Population,Ice Storm - Historic Loss Ratio - Total Rating,Ice Storm - Expected Annual Loss - Building Value,Ice Storm - Expected Annual Loss - Population,Ice Storm - Expected Annual Loss - Population Equivalence,Ice Storm - Expected Annual Loss - Total,Ice Storm - Expected Annual Loss Score,Ice Storm - Expected Annual Loss Rating,Ice Storm - Expected Annual Loss Rate - Building,Ice Storm - Expected Annual Loss Rate - Population,Ice Storm - Expected Annual Loss Rate - National Percentile,Ice Storm - Hazard Type Risk Index Value,Ice Storm - Hazard Type Risk Index Score,Ice Storm - Hazard Type Risk Index Rating,National Risk Index Version
24084,T15003001803,Hawaii,HI,15,Honolulu,County,003,15003,001803,15003001803,2902,"502,012,938.00",0.00,0.05,0.00,0.01,0.05,"502,012,938.00","2,902.00","39,757,400,000.00","40,259,412,938.00",0.00,0.00,Very Low,452.45,0.00,197.98,650.43,7.79,Very Low,0.00,0.00,29.59,"1,002.69",11.39,Very Low,December 2025
24085,T15003001804,Hawaii,HI,15,Honolulu,County,003,15003,001804,15003001804,1785,"379,517,647.00",0.00,0.06,0.00,0.01,0.06,"379,517,647.00","1,785.00","24,454,500,000.00","24,834,017,647.00",0.00,0.00,Very Low,342.05,0.00,121.78,463.83,5.23,Very Low,0.00,0.00,30.68,518.98,5.19,Very Low,December 2025
24086,T15003001901,Hawaii,HI,15,Honolulu,County,003,15003,001901,15003001901,316,"1,603,325,164.00",0.00,0.68,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,December 2025
24087,T15003001905,Hawaii,HI,15,Honolulu,County,003,15003,001905,15003001905,1377,"84,778,194.00",0.00,0.02,0.00,0.01,0.02,"84,778,194.00","1,377.00","18,864,900,000.00","18,949,678,194.00",0.00,0.00,Very Low,76.41,0.00,93.94,170.35,2.33,Very Low,0.00,0.00,24.11,289.51,2.95,Very Low,December 2025
24088,T15003001906,Hawaii,HI,15,Honolulu,County,003,15003,001906,15003001906,2877,"418,901,604.00",0.00,0.04,0.00,0.01,0.04,"418,901,604.00","2,877.00","39,414,900,000.00","39,833,801,604.00",0.00,0.00,Very Low,377.54,0.00,196.28,573.82,6.72,Very Low,0.00,0.00,28.67,755.70,8.08,Very Low,December 2025
24089,T15003001907,Hawaii,HI,15,Honolulu,County,003,15003,001907,15003001907,2546,"350,428,745.00",0.00,0.03,0.00,0.01,0.03,"350,428,745.00","2,546.00","34,880,200,000.00","35,230,628,745.00",0.00,0.00,Very Low,315.83,0.00,173.70,489.53,5.59,Very Low,0.00,0.00,28.38,512.76,5.12,Very Low,December 2025
24090,T15003002003,Hawaii,HI,15,Honolulu,County,003,15003,002003,15003002003,2126,"755,720,411.00",0.00,0.06,0.00,0.01,0.06,"755,720,411.00","2,126.00","29,126,200,000.00","29,881,920,411.00",0.00,0.00,Very Low,681.11,0.00,145.04,826.15,10.51,Very Low,0.00,0.00,33.16,"1,329.78",16.08,Very Low,December 2025
24091,T15003002004,Hawaii,HI,15,Honolulu,County,003,15003,002004,15003002004,1140,"566,529,696.00",0.00,0.06,0.00,0.01,0.06,"566,529,696.00","1,140.00","15,618,000,000.00","16,184,529,696.00",0.00,0.00,Very Low,510.60,0.00,77.77,588.37,6.93,Very Low,0.00,0.00,34.28,982.62,11.15,Very Low,December 2025
24092,T15003002005,Hawaii,HI,15,Honolulu,County,003,15003,002005,15003002005,1834,"334,266,428.00",0.00,0.05,0.00,0.01,0.05,"334,266,428.00","1,834.00","25,125,800,000.00","25,460,066,428.00",0.00,0.00,Very Low,301.26,0.00,125.12,426.39,4.76,Very Low,0.00,0.00,29.90,675.97,7.08,Very Low,December 2025
24093,T15003002006,Hawaii,HI,15,Honolulu,County,003,15003,002006,15003002006,2267,"493,561,229.00",0.00,0.06,0.00,0.01,0.06,"493,561,229.00","2,267.00","31,057,900,000.00","31,551,461,229.00",0.00,0.00,Very Low,444.83,0.00,154.66,599.49,7.06,Very Low,0.00,0.00,30.93,830.24,9.07,Very Low,December 2025
24094,T15003002101,Hawaii,HI,15,Honolulu,County,003,15003,002101,15003002101,1746,"234,350,020.00",0.00,0.30,0.00,0.01,0.30,"234,350,020.00","1,746.00","23,920,200,000.00","24,154,550,020.00",0.00,0.00,Very Low,211.21,0.00,119.12,330.33,3.70,Very Low,0.00,0.00,28.30,426.06,4.17,Very Low,December 2025
24095,T15003002102,Hawaii,HI,15,Honolulu,County,003,15003,002102,15003002102,1839,"337,381,117.00",0.00,0.16,0.00,0.01,0.16,"337,381,117.00","1,839.00","25,194,300,000.00","25,531,681,117.00",0.00,0.00,Very Low,304.07,0.00,125.46,429.53,4.79,Very Low,0.00,0.00,30.01,681.62,7.15,Very Low,December 2025
24096,T15003002203,Hawaii,HI,15,Honolulu,County,003,15003,002203,15003002203,1836,"179,442,941.00",0.00,0.08,0.00,0.01,0.08,"179,442,941.00","1,836.00","25,153,200,000.00","25,332,642,941.00",0.00,0.00,Very Low,161.73,0.00,125.26,286.98,3.31,Very Low,0.00,0.00,26.58,399.87,3.95,Very Low,December 2025
24097,T15003002204,Hawaii,HI,15,Honolulu,County,003,15003,002204,15003002204,1308,"132,058,991.00",0.00,0.02,0.00,0.01,0.02,"132,058,991.00","1,308.00","17,919,600,000.00","18,051,658,991.00",0.00,0.00,Very Low,119.02,0.00,89.24,208.26,2.62,Very Low,0.00,0.00,26.71,306.92,3.08,Very Low,December 2025
24098,T15003002205,Hawaii,HI,15,Honolulu,County,003,15003,002205,15003002205,1888,"348,422,413.00",0.00,0.07,0.00,0.01,0.07,"348,422,413.00","1,888.00","25,865,600,000.00","26,214,022,413.00",0.00,0.00,Very Low,314.02,0.00,128.81,442.83,4.96,Very Low,0.00,0.00,29.90,596.75,6.12,Very Low,December 2025
24099,T15003002206,Hawaii,HI,15,Honolulu,County,003,15003,002206,15003002206,1961,"162,642,507.00",0.00,0.04,0.00,0.01,0.04,"162,642,507.00","1,961.00","26,865,700,000.00","27,028,342,507.00",0.00,0.00,Very Low,146.58,0.00,133.79,280.37,3.26,Very Low,0.00,0.00,25.75,481.56,4.77,Very Low,December 2025
24100,T15003002301,Hawaii,HI,15,Honolulu,County,003,15003,002301,15003002301,3250,"293,853,640.00",0.00,0.08,0.00,0.01,0.08,"293,853,640.00","3,250.00","44,525,000,000.00","44,818,853,640.00",0.00,0.00,Very Low,264.84,0.00,221.72,486.57,5.55,Very Low,0.00,0.00,26.22,529.05,5.30,Very Low,December 2025
24101,T15003002302,Hawaii,HI,15,Honolulu,County,003,15003,002302,15003002302,2087,"243,898,370.00",0.00,0.06,0.00,0.01,0.06,"243,898,370.00","2,087.00","28,591,900,000.00","28,835,798,370.00",0.00,0.00,Very Low,219.82,0.00,142.38,362.20,4.03,Very Low,0.00,0.00,27.61,388.16,3.86,Very Low,December 2025
24102,T15003002401,Hawaii,HI,15,Honolulu,County,003,15003,002401,15003002401,2912,"265,210,473.00",0.00,0.07,0.00,0.01,0.07,"265,210,473.00","2,912.00","39,894,400,000.00","40,159,610,473.00",0.00,0.00,Very Low,239.03,0.00,198.67,437.69,4.89,Very Low,0.00,0.00,26.39,560.56,5.66,Very Low,December 2025
24103,T15003002403,Hawaii,HI,15,Honolulu,County,003,15003,002403,15003002403,1567,"180,068,729.00",0.00,0.04,0.00,0.01,0.04,"180,068,729.00","1,567.00","21,467,900,000.00","21,647,968,729.00",0.00,0.00,Very Low,162.29,0.00,106.91,269.20,3.14,Very Low,0.00,0.00,27.42,390.93,3.88,Very Low,December 2025
24104,T15003002404,Hawaii,HI,15,Honolulu,County,003,15003,002404,15003002404,1423,"187,805,692.00",0.00,0.06,0.00,0.01,0.06,"187,805,692.00","1,423.00","19,495,100,000.00","19,682,905,692.00",0.00,0.00,Very Low,169.26,0.00,97.08,266.35,3.12,Very Low,0.00,0.00,28.23,415.07,4.07,Very Low,December 2025
24105,T15003002500,Hawaii,HI,15,Honolulu,County,003,15003,002500,15003002500,3941,"598,349,571.00",0.00,0.17,0.00,0.01,0.17,"598,349,571.00","3,941.00","53,991,700,000.00","54,590,049,571.00",0.00,0.00,Very Low,539.28,0.00,268.87,808.14,10.24,Very Low,0.00,0.00,29.24,"1,300.15",15.68,Very Low,December 2025
24106,T15003002600,Hawaii,HI,15,Honolulu,County,003,15003,002600,15003002600,4174,"1,928,651,249.00",0.00,0.26,0.00,0.01,0.26,"1,928,651,249.00","4,174.00","57,183,800,000.00","59,112,451,249.00",0.00,0.00,Very Low,"1,738.24",0.00,284.76,"2,023.00",27.73,Very Low,0.00,0.00,34.09,"2,760.10",32.49,Very Low,December 2025
24107,T15003002701,Hawaii,HI,15,Honolulu,County,003,15003,002701,15003002701,4078,"1,795,731,621.00",0.00,0.58,0.00,0.01,0.58,"1,795,731,621.00","4,078.00","55,868,600,000.00","57,664,331,621.00",0.00,0.00,Very Low,"1,618.44",0.00,278.21,"1,896.65",26.25,Very Low,0.00,0.00,33.96,"2,287.17",27.87,Very Low,December 2025
24108,T15003002702,Hawaii,HI,15,Honolulu,County,003,15003,002702,15003002702,4705,"1,033,613,532.00",0.00,0.40,0.00,0.01,0.40,"1,033,613,532.00","4,705.00","64,458,500,000.00","65,492,113,532.00",0.00,0.00,Very Low,931.57,0.00,320.99,"1,252.56",17.41,Very Low,0.00,0.00,31.10,"1,470.38",18.07,Very Low,December 2025
24109,T15003002801,Hawaii,HI,15,Honolulu,County,003,15003,002801,15003002801,1778,"410,886,116.00",0.00,0.26,0.00,0.01,0.26,"410,886,116.00","1,778.00","24,358,600,000.00","24,769,486,116.00",0.00,0.00,Very Low,370.32,0.00,121.30,491.62,5.62,Very Low,0.00,0.00,31.20,750.83,8.00,Very Low,December 2025
24110,T15003002802,Hawaii,HI,15,Honolulu,County,003,15003,002802,15003002802,2353,"336,826,557.00",0.00,0.64,0.00,0.01,0.64,"336,826,557.00","2,353.00","32,236,100,000.00","32,572,926,557.00",0.00,0.00,Very Low,303.57,0.00,160.53,464.10,5.24,Very Low,0.00,0.00,28.83,522.52,5.23,Very Low,December 2025
24111,T15003002900,Hawaii,HI,15,Honolulu,County,003,15003,002900,15003002900,2251,"332,975,387.00",0.00,0.46,0.00,0.01,0.46,"332,975,387.00","2,251.00","30,838,700,000.00","31,171,675,387.00",0.00,0.00,Very Low,300.10,0.00,153.57,453.67,5.09,Very Low,0.00,0.00,28.92,356.72,3.56,Very Low,December 2025
24112,T15003003000,Hawaii,HI,15,Honolulu,County,003,15003,003000,15003003000,4305,"911,851,857.00",0.00,0.59,0.00,0.01,0.59,"911,851,857.00","4,305.00","58,978,500,000.00","59,890,351,857.00",0.00,0.00,Very Low,821.83,0.00,293.70,"1,115.53",15.16,Very Low,0.00,0.00,30.95,"1,196.05",14.10,Very Low,December 2025
24113,T15003003102,Hawaii,HI,15,Honolulu,County,003,15003,003102,15003003102,3345,"626,336,494.00",0.00,1.52,0.00,0.01,1.52,"626,336,494.00","3,345.00","45,826,500,000.00","46,452,836,494.00",0.00,0.00,Very Low,564.50,0.00,228.21,792.70,9.98,Very Low,0.00,0.00,30.07,840.54,9.22,Very Low,December 2025
24114,T15003003103,Hawaii,HI,15,Honolulu,County,003,15003,003103,15003003103,1567,"254,393,001.00",0.00,1.76,0.00,0.01,1.76,"254,393,001.00","1,567.00","21,467,900,000.00","21,722,293,001.00",0.00,0.00,Very Low,229.28,0.00,106.91,336.18,3.75,Very Low,0.00,0.00,29.34,358.03,3.58,Very Low,December 2025
24115,T15003003104,Hawaii,HI,15,Honolulu,County,003,15003,003104,15003003104,2175,"416,250,673.00",0.00,0.34,0.00,0.01,0.34,"416,250,673.00","2,175.00","29,797,500,000.00","30,213,750,673.00",0.00,0.00,Very Low,375.15,0.00,148.39,523.54,6.07,Very Low,0.00,0.00,30.32,499.51,4.98,Very Low,December 2025
24116,T15003003404,Hawaii,HI,15,Honolulu,County,003,15003,003404,15003003404,4517,"611,754,376.00",0.00,0.10,0.00,0.01,0.10,"611,754,376.00","4,517.00","61,882,900,000.00","62,494,654,376.00",0.00,0.00,Very Low,551.36,0.00,308.16,859.52,11.05,Very Low,0.00,0.00,28.34,"1,325.31",16.01,Very Low,December 2025
24117,T15003003408,Hawaii,HI,15,Honolulu,County,003,15003,003408,15003003408,2256,"252,146,055.00",0.00,0.04,0.00,0.01,0.04,"252,146,055.00","2,256.00","30,907,200,000.00","31,159,346,055.00",0.00,0.00,Very Low,227.25,0.00,153.91,381.16,4.20,Very Low,0.00,0.00,27.30,449.19,4.42,Very Low,December 2025
24118,T15003003409,Hawaii,HI,15,Honolulu,County,003,15003,003409,15003003409,1901,"241,294,964.00",0.00,0.03,0.00,0.01,0.03,"241,294,964.00","1,901.00","26,043,700,000.00","26,284,994,964.00",0.00,0.00,Very Low,217.47,0.00,129.69,347.16,3.87,Very Low,0.00,0.00,27.95,403.39,3.98,Very Low,December 2025
24119,T15003003410,Hawaii,HI,15,Honolulu,County,003,15003,003410,15003003410,1482,"153,741,416.00",0.00,0.03,0.00,0.01,0.03,"153,741,416.00","1,482.00","20,303,400,000.00","20,457,141,416.00",0.00,0.00,Very Low,138.56,0.00,101.11,239.67,2.88,Very Low,0.00,0.00,26.87,255.89,2.72,Very Low,December 2025
24120,T15003003411,Hawaii,HI,15,Honolulu,County,003,15003,003411,15003003411,1231,"139,895,379.00",0.00,0.02,0.00,0.01,0.02,"139,895,379.00","1,231.00","16,864,700,000.00","17,004,595,379.00",0.00,0.00,Very Low,126.08,0.00,83.98,210.07,2.63,Very Low,0.00,0.00,27.38,203.41,2.36,Very Low,December 2025
24121,T15003003412,Hawaii,HI,15,Honolulu,County,003,15003,003412,15003003412,1618,"239,808,140.00",0.00,0.06,0.00,0.01,0.06,"239,808,140.00","1,618.00","22,166,600,000.00","22,406,408,140.00",0.00,0.00,Very Low,216.13,0.00,110.38,326.52,3.65,Very Low,0.00,0.00,28.84,354.79,3.54,Very Low,December 2025
24122,T15003003413,Hawaii,HI,15,Honolulu,County,003,15003,003413,15003003413,2532,"295,198,402.00",0.00,0.06,0.00,0.01,0.06,"295,198,402.00","2,532.00","34,688,400,000.00","34,983,598,402.00",0.00,0.00,Very Low,266.05,0.00,172.74,438.79,4.92,Very Low,0.00,0.00,27.52,471.10,4.67,Very Low,December 2025
24123,T15003003414,Hawaii,HI,15,Honolulu,County,003,15003,003414,15003003414,4118,"546,844,676.00",0.00,0.10,0.00,0.01,0.10,"546,844,676.00","4,118.00","56,416,600,000.00","56,963,444,676.00",0.00,0.00,Very Low,492.86,0.00,280.94,773.80,9.68,Very Low,0.00,0.00,28.28,"1,200.00",14.17,Very Low,December 2025
24124,T15003003501,Hawaii,HI,15,Honolulu,County,003,15003,003501,15003003501,2286,"596,224,147.00",0.00,0.12,0.00,0.01,0.12,"596,224,147.00","2,286.00","31,318,200,000.00","31,914,424,147.00",0.00,0.00,Very Low,537.36,0.00,155.96,693.32,8.40,Very Low,0.00,0.00,31.82,"1,179.23",13.86,Very Low,December 2025
24125,T15003003503,Hawaii,HI,15,Honolulu,County,003,15003,003503,15003003503,1500,"420,496,843.00",0.00,0.07,0.00,0.01,0.07,"420,496,843.00","1,500.00","20,550,000,000.00","20,970,496,843.00",0.00,0.00,Very Low,378.98,0.00,102.33,481.32,5.47,Very Low,0.00,0.00,32.16,814.69,8.85,Very Low,December 2025
24126,T15003003504,Hawaii,HI,15,Honolulu,County,003,15003,003504,15003003504,2712,"475,249,248.00",0.00,0.09,0.00,0.01,0.09,"475,249,248.00","2,712.00","37,154,400,000.00","37,629,649,248.00",0.00,0.00,Very Low,428.33,0.00,185.02,613.35,7.27,Very Low,0.00,0.00,29.73,959.15,10.82,Very Low,December 2025
24127,T15003003603,Hawaii,HI,15,Honolulu,County,003,15003,003603,15003003603,3181,"343,897,583.00",0.00,0.06,0.00,0.01,0.06,"343,897,583.00","3,181.00","43,579,700,000.00","43,923,597,583.00",0.00,0.00,Very Low,309.94,0.00,217.02,526.96,6.11,Very Low,0.00,0.00,27.18,849.32,9.32,Very Low,December 2025
24128,T15003003604,Hawaii,HI,15,Honolulu,County,003,15003,003604,15003003604,2554,"556,555,954.00",0.00,0.07,0.00,0.01,0.07,"556,555,954.00","2,554.00","34,989,800,000.00","35,546,355,954.00",0.00,0.00,Very Low,501.61,0.00,174.24,675.85,8.15,Very Low,0.00,0.00,30.82,"1,105.02",12.84,Very Low,December 2025
24129,T15003003605,Hawaii,HI,15,Honolulu,County,003,15003,003605,15003003605,1036,"302,668,789.00",0.00,0.06,0.00,0.01,0.06,"302,668,789.00","1,036.00","14,193,200,000.00","14,495,868,789.00",0.00,0.00,Very Low,272.79,0.00,70.68,343.47,3.83,Very Low,0.00,0.00,32.37,450.12,4.43,Very Low,December 2025
24130,T15003003606,Hawaii,HI,15,Honolulu,County,003,15003,003606,15003003606,3058,"599,291,146.00",0.00,0.09,0.00,0.01,0.09,"599,291,146.00","3,058.00","41,894,600,000.00","42,493,891,146.00",0.00,0.00,Very Low,540.12,0.00,208.63,748.75,9.28,Very Low,0.00,0.00,30.41,794.69,8.57,Very Low,December 2025
24131,T15003003701,Hawaii,HI,15,Honolulu,County,003,15003,003701,15003003701,2522,"403,859,237.00",0.00,0.07,0.00,0.01,0.07,"403,859,237.00","2,522.00","34,551,400,000.00","34,955,259,237.00",0.00,0.00,Very Low,363.99,0.00,172.06,536.04,6.22,Very Low,0.00,0.00,29.18,785.96,8.46,Very Low,December 2025
24132,T15003003702,Hawaii,HI,15,Honolulu,County,003,15003,003702,15003003702,3929,"500,541,596.00",0.00,0.10,0.00,0.01,0.10,"500,541,596.00","3,929.00","53,827,300,000.00","54,327,841,596.00",0.00,0.00,Very Low,451.12,0.00,268.05,719.17,8.79,Very Low,0.00,0.00,28.01,663.78,6.93,Very Low,December 2025
24133,T15003003703,Hawaii,HI,15,Honolulu,County,003,15003,003703,15003003703,3434,"1,568,260,956.00",0.00,0.88,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,December 2025
24134,T15003003801,Hawaii,HI,15,Honolulu,County,003,15003,003801,15003003801,4909,"833,000,973.00",0.00,0.49,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,December 2025
24135,T15003003802,Hawaii,HI,15,Honolulu,County,003,15003,003802,15003003802,5114,"677,184,256.00",0.00,0.11,0.00,0.01,0.11,"677,184,256.00","5,114.00","70,061,800,000.00","70,738,984,256.00",0.00,0.00,Very Low,610.33,0.00,348.89,959.22,12.70,Very Low,0.00,0.00,28.25,"1,301.11",15.69,Very Low,December 2025
24136,T15003003900,Hawaii,HI,15,Honolulu,County,003,15003,003900,15003003900,559,"936,277,982.00",0.00,0.55,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,December 2025
24137,T15003004000,Hawaii,HI,15,Honolulu,County,003,15003,004000,15003004000,1627,"2,136,812,541.00",0.00,0.12,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,December 2025
24138,T15003004101,Hawaii,HI,15,Honolulu,County,003,15003,004101,15003004101,1618,"207,696,099.00",0.00,0.06,0.00,0.01,0.06,"207,696,099.00","1,618.00","22,166,600,000.00","22,374,296,099.00",0.00,0.00,Very Low,187.19,0.00,110.38,297.58,3.39,Very Low,0.00,0.00,28.41,420.46,4.12,Very Low,December 2025
24139,T15003004102,Hawaii,HI,15,Honolulu,County,003,15003,004102,15003004102,2438,"1,008,125,851.00",0.00,0.20,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,December 2025
24140,T15003004201,Hawaii,HI,15,Honolulu,County,003,15003,004201,15003004201,1602,"197,439,868.00",0.00,0.01,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,December 2025
24141,T15003004202,Hawaii,HI,15,Honolulu,County,003,15003,004202,15003004202,1901,"191,182,044.00",0.00,0.09,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,December 2025
24142,T15003004301,Hawaii,HI,15,Honolulu,County,003,15003,004301,15003004301,2273,"278,320,938.00",0.00,0.37,0.00,0.01,0.37,"278,320,938.00","2,273.00","31,140,100,000.00","31,418,420,938.00",0.00,0.00,Very Low,250.84,0.00,155.07,405.91,4.51,Very Low,0.00,0.00,27.84,460.89,4.55,Very Low,December 2025
24143,T15003004302,Hawaii,HI,15,Honolulu,County,003,15003,004302,15003004302,3313,"483,764,356.00",0.00,0.15,0.00,0.01,0.15,"483,764,356.00","3,313.00","45,388,100,000.00","45,871,864,356.00",0.00,0.00,Very Low,436.00,0.00,226.02,662.03,7.97,Very Low,0.00,0.00,28.82,875.78,9.65,Very Low,December 2025
24144,T15003004401,Hawaii,HI,15,Honolulu,County,003,15003,004401,15003004401,2536,"340,680,166.00",0.00,0.19,0.00,0.01,0.19,"340,680,166.00","2,536.00","34,743,200,000.00","35,083,880,166.00",0.00,0.00,Very Low,307.05,0.00,173.01,480.06,5.45,Very Low,0.00,0.00,28.46,458.91,4.53,Very Low,December 2025
24145,T15003004402,Hawaii,HI,15,Honolulu,County,003,15003,004402,15003004402,2550,"304,794,320.00",0.00,1.26,0.00,0.01,1.26,"304,794,320.00","2,550.00","34,935,000,000.00","35,239,794,320.00",0.00,0.00,Very Low,274.70,0.00,173.97,448.67,5.02,Very Low,0.00,0.00,27.94,591.79,6.05,Very Low,December 2025
24146,T15003004500,Hawaii,HI,15,Honolulu,County,003,15003,004500,15003004500,5360,"1,152,513,114.00",0.00,3.10,0.00,0.01,3.10,"1,152,513,114.00","5,360.00","73,432,000,000.00","74,584,513,114.00",0.00,0.00,Very Low,"1,038.73",0.00,365.68,"1,404.40",19.68,Very Low,0.00,0.00,30.88,"1,654.19",20.48,Very Low,December 2025
24147,T15003004600,Hawaii,HI,15,Honolulu,County,003,15003,004600,15003004600,3883,"807,788,422.00",0.00,2.68,0.00,0.01,2.68,"807,788,422.00","3,883.00","53,197,100,000.00","54,004,888,422.00",0.00,0.00,Very Low,728.04,0.00,264.91,992.95,13.23,Very Low,0.00,0.00,30.77,"1,045.76",12.00,Very Low,December 2025
24148,T15003004701,Hawaii,HI,15,Honolulu,County,003,15003,004701,15003004701,2305,"415,642,967.00",0.00,0.24,0.00,0.01,0.24,"415,642,967.00","2,305.00","31,578,500,000.00","31,994,142,967.00",0.00,0.00,Very Low,374.61,0.00,157.25,531.86,6.17,Very Low,0.00,0.00,29.91,592.02,6.05,Very Low,December 2025
24149,T15003004702,Hawaii,HI,15,Honolulu,County,003,15003,004702,15003004702,2477,"649,481,877.00",0.00,0.30,0.00,0.01,0.30,"649,481,877.00","2,477.00","33,934,900,000.00","34,584,381,877.00",0.00,0.00,Very Low,585.36,0.00,168.99,754.35,9.37,Very Low,0.00,0.00,31.87,840.58,9.22,Very Low,December 2025
24150,T15003004801,Hawaii,HI,15,Honolulu,County,003,15003,004801,15003004801,3079,"822,039,718.00",0.00,1.17,0.00,0.01,1.17,"822,039,718.00","3,079.00","42,182,300,000.00","43,004,339,718.00",0.00,0.00,Very Low,740.88,0.00,210.06,950.94,12.57,Very Low,0.00,0.00,32.07,747.73,7.95,Very Low,December 2025
24151,T15003004802,Hawaii,HI,15,Honolulu,County,003,15003,004802,15003004802,3873,"432,960,000.00",0.00,0.20,0.00,0.01,0.20,"432,960,000.00","3,873.00","53,060,100,000.00","53,493,060,000.00",0.00,0.00,Very Low,390.21,0.00,264.23,654.44,7.85,Very Low,0.00,0.00,27.54,647.87,6.73,Very Low,December 2025
24152,T15003004900,Hawaii,HI,15,Honolulu,County,003,15003,004900,15003004900,3351,"397,146,538.00",0.00,0.16,0.00,0.01,0.16,"397,146,538.00","3,351.00","45,908,700,000.00","46,305,846,538.00",0.00,0.00,Very Low,357.94,0.00,228.62,586.55,6.91,Very Low,0.00,0.00,27.65,864.24,9.52,Very Low,December 2025
24153,T15003005000,Hawaii,HI,15,Honolulu,County,003,15003,005000,15003005000,4106,"869,129,630.00",0.00,0.21,0.00,0.01,0.21,"869,129,630.00","4,106.00","56,252,200,000.00","57,121,329,630.00",0.00,0.00,Very Low,783.32,0.00,280.12,"1,063.44",14.35,Very Low,0.00,0.00,30.75,"1,395.68",17.02,Very Low,December 2025
24154,T15003005100,Hawaii,HI,15,Honolulu,County,003,15003,005100,15003005100,2905,"267,472,840.00",0.00,0.07,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,December 2025
24155,T15003005200,Hawaii,HI,15,Honolulu,County,003,15003,005200,15003005200,3000,"327,103,580.00",0.00,0.08,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,December 2025
24156,T15003005300,Hawaii,HI,15,Honolulu,County,003,15003,005300,15003005300,4235,"337,835,440.00",0.00,0.14,0.00,0.01,0.14,"337,835,440.00","4,235.00","58,019,500,000.00","58,357,335,440.00",0.00,0.00,Very Low,304.48,0.00,288.92,593.41,7.00,Very Low,0.00,0.00,25.60,838.79,9.19,Very Low,December 2025
24157,T15003005400,Hawaii,HI,15,Honolulu,County,003,15003,005400,15003005400,1545,"49,331,926.00",0.00,0.03,0.00,0.01,0.03,"49,331,926.00","1,545.00","21,166,500,000.00","21,215,831,926.00",0.00,0.00,Very Low,44.46,0.00,105.40,149.87,2.20,Very Low,0.00,0.00,20.21,255.01,2.70,Very Low,December 2025
24158,T15003005500,Hawaii,HI,15,Honolulu,County,003,15003,005500,15003005500,2157,"160,087,370.00",0.00,0.08,0.00,0.01,0.08,"160,087,370.00","2,157.00","29,550,900,000.00","29,710,987,370.00",0.00,0.00,Very Low,144.28,0.00,147.16,291.44,3.33,Very Low,0.00,0.00,25.46,360.29,3.61,Very Low,December 2025
24159,T15003005601,Hawaii,HI,15,Honolulu,County,003,15003,005601,15003005601,1808,"172,993,730.00",0.00,0.06,0.00,0.01,0.06,"172,993,730.00","1,808.00","24,769,600,000.00","24,942,593,730.00",0.00,0.00,Very Low,155.91,0.00,123.35,279.26,3.24,Very Low,0.00,0.00,26.60,383.07,3.82,Very Low,December 2025
24160,T15003005602,Hawaii,HI,15,Honolulu,County,003,15003,005602,15003005602,5124,"537,892,741.00",0.00,0.31,0.00,0.01,0.31,"537,892,741.00","5,124.00","70,198,800,000.00","70,736,692,741.00",0.00,0.00,Very Low,484.79,0.00,349.57,834.36,10.63,Very Low,0.00,0.00,27.14,656.06,6.83,Very Low,December 2025
24161,T15003005700,Hawaii,HI,15,Honolulu,County,003,15003,005700,15003005700,2483,"2,389,813,804.00",0.00,2.32,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,December 2025
24162,T15003005800,Hawaii,HI,15,Honolulu,County,003,15003,005800,15003005800,3322,"684,910,317.00",0.00,0.20,0.00,0.01,0.20,"684,910,317.00","3,322.00","45,511,400,000.00","46,196,310,317.00",0.00,0.00,Very Low,617.29,0.00,226.64,843.93,10.78,Very Low,0.00,0.00,30.58,"1,435.67",17.60,Very Low,December 2025
24163,T15003005900,Hawaii,HI,15,Honolulu,County,003,15003,005900,15003005900,2981,"2,040,438,884.00",0.00,1.02,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,December 2025
