OBJECTID,National Risk Index ID,State Name,State Name Abbreviation,State FIPS Code,County Name,County Type,County FIPS Code,State-County FIPS Code,Census Tract,Census Tract FIPS Code,Population (2020),Building Value ($),Agriculture Value ($),Area (sq mi),Strong Wind - Number of Events,Strong Wind - Annualized Frequency,Strong Wind - Exposure - Impacted Area (sq mi),Strong Wind - Exposure - Building Value,Strong Wind - Exposure - Population,Strong Wind - Exposure - Population Equivalence,Strong Wind - Exposure - Agriculture Value,Strong Wind - Exposure - Total,Strong Wind - Historic Loss Ratio - Buildings,Strong Wind - Historic Loss Ratio - Population,Strong Wind - Historic Loss Ratio - Agriculture,Strong Wind - Historic Loss Ratio - Total Rating,Strong Wind - Expected Annual Loss - Building Value,Strong Wind - Expected Annual Loss - Population,Strong Wind - Expected Annual Loss - Population Equivalence,Strong Wind - Expected Annual Loss - Agriculture Value,Strong Wind - Expected Annual Loss - Total,Strong Wind - Expected Annual Loss Score,Strong Wind - Expected Annual Loss Rating,Strong Wind - Expected Annual Loss Rate - Building,Strong Wind - Expected Annual Loss Rate - Population,Strong Wind - Expected Annual Loss Rate - Agriculture,Strong Wind - Expected Annual Loss Rate - National Percentile,Strong Wind - Hazard Type Risk Index Value,Strong Wind - Hazard Type Risk Index Score,Strong Wind - Hazard Type Risk Index Rating,National Risk Index Version
24042,T15001021800,Hawaii,HI,15,Hawaii,County,001,15001,021800,15001021800,6927,"1,318,845,881.00","24,839,420.00",157.17,1.00,0.01,142.52,"1,318,845,881.00","6,927.00","94,899,900,000.00","24,839,420.00","96,243,585,301.00",0.00,0.00,0.00,Very Low,204.97,0.00,316.53,134.62,656.12,8.93,Very Low,0.00,0.00,0.00,45.29,711.32,7.74,Very Low,December 2025
24043,T15001021902,Hawaii,HI,15,Hawaii,County,001,15001,021902,15001021902,4199,"736,627,875.00","13,353,438.00",129.29,1.00,0.01,116.53,"736,627,875.00","4,199.00","57,526,300,000.00","13,353,438.00","58,276,281,313.00",0.00,0.00,0.00,Very Low,92.00,0.00,153.82,58.63,304.45,5.41,Very Low,0.00,0.00,0.00,43.15,406.53,5.11,Very Low,December 2025
24044,T15001022000,Hawaii,HI,15,Hawaii,County,001,15001,022000,15001022000,2678,"375,920,365.00","31,687,785.00",477.39,1.00,0.01,469.23,"375,920,365.00","2,678.00","36,688,600,000.00","31,687,785.00","37,096,208,150.00",0.00,0.00,0.00,Very Low,46.74,0.00,97.90,139.88,284.51,5.09,Very Low,0.00,0.00,0.00,64.04,318.14,4.01,Very Low,December 2025
24045,T15001022102,Hawaii,HI,15,Hawaii,County,001,15001,022102,15001022102,2100,"374,194,684.00","16,997,086.00",330.62,1.00,0.01,323.84,"374,194,684.00","2,100.00","28,770,000,000.00","16,997,086.00","29,161,191,770.00",0.00,0.00,0.00,Very Low,46.08,0.00,76.49,73.64,196.21,3.72,Very Low,0.00,0.00,0.00,56.60,254.24,3.18,Very Low,December 2025
24046,T15003000107,Hawaii,HI,15,Honolulu,County,003,15003,000107,15003000107,2740,"420,741,753.00","40,385.00",1.18,1.00,0.01,1.18,"420,741,753.00","2,740.00","37,538,000,000.00","40,385.00","37,958,782,138.00",0.00,0.00,0.00,Very Low,52.31,0.00,116.37,0.06,168.74,3.28,Very Low,0.00,0.00,0.00,14.01,132.68,1.65,Very Low,December 2025
24047,T15003000108,Hawaii,HI,15,Honolulu,County,003,15003,000108,15003000108,3213,"708,351,504.00",0.00,0.54,1.00,0.01,0.54,"708,351,504.00","3,213.00","44,018,100,000.00",0.00,"44,726,451,504.00",0.00,0.00,0.00,Very Low,88.07,0.00,136.45,0.00,224.52,4.17,Very Low,0.00,0.00,0.00,16.01,227.47,2.88,Very Low,December 2025
24048,T15003000110,Hawaii,HI,15,Honolulu,County,003,15003,000110,15003000110,4254,"738,534,784.00",0.00,3.00,1.00,0.01,2.62,"738,534,784.00","4,254.00","58,279,800,000.00",0.00,"59,018,334,784.00",0.00,0.00,0.00,Very Low,91.82,0.00,180.66,0.00,272.49,4.90,Very Low,0.00,0.00,0.00,14.48,324.84,4.09,Very Low,December 2025
24049,T15003000114,Hawaii,HI,15,Honolulu,County,003,15003,000114,15003000114,1722,"581,702,437.00",0.00,0.75,1.00,0.01,0.48,"581,702,437.00","1,722.00","23,591,400,000.00",0.00,"24,173,102,437.00",0.00,0.00,0.00,Very Low,72.32,0.00,73.13,0.00,145.46,2.95,Very Low,0.00,0.00,0.00,19.19,132.22,1.64,Very Low,December 2025
24050,T15003000115,Hawaii,HI,15,Honolulu,County,003,15003,000115,15003000115,2774,"416,834,188.00",0.00,1.20,1.00,0.01,1.20,"416,834,188.00","2,774.00","38,003,800,000.00",0.00,"38,420,634,188.00",0.00,0.00,0.00,Very Low,51.83,0.00,117.81,0.00,169.64,3.29,Very Low,0.00,0.00,0.00,13.60,194.62,2.46,Very Low,December 2025
24051,T15003000116,Hawaii,HI,15,Honolulu,County,003,15003,000116,15003000116,2500,"332,294,641.00",0.00,0.47,1.00,0.01,0.47,"332,294,641.00","2,500.00","34,250,000,000.00",0.00,"34,582,294,641.00",0.00,0.00,0.00,Very Low,41.32,0.00,106.17,0.00,147.49,2.98,Very Low,0.00,0.00,0.00,12.72,155.26,1.98,Very Low,December 2025
24052,T15003000117,Hawaii,HI,15,Honolulu,County,003,15003,000117,15003000117,1464,"210,911,397.00",0.00,0.34,1.00,0.01,0.34,"210,911,397.00","1,464.00","20,056,800,000.00",0.00,"20,267,711,397.00",0.00,0.00,0.00,Very Low,26.22,0.00,62.17,0.00,88.40,1.97,Very Low,0.00,0.00,0.00,13.14,69.51,0.82,Very Low,December 2025
24053,T15003000118,Hawaii,HI,15,Honolulu,County,003,15003,000118,15003000118,1771,"285,011,674.00","112,491.00",1.07,1.00,0.01,1.07,"285,011,674.00","1,771.00","24,262,700,000.00","112,491.00","24,547,824,165.00",0.00,0.00,0.00,Very Low,35.44,0.00,75.21,0.17,110.82,2.37,Very Low,0.00,0.00,0.00,14.23,87.14,1.08,Very Low,December 2025
24054,T15003000119,Hawaii,HI,15,Honolulu,County,003,15003,000119,15003000119,2195,"319,953,943.00",0.00,0.29,1.00,0.01,0.29,"319,953,943.00","2,195.00","30,071,500,000.00",0.00,"30,391,453,943.00",0.00,0.00,0.00,Very Low,39.78,0.00,93.22,0.00,133.00,2.74,Very Low,0.00,0.00,0.00,13.65,104.58,1.30,Very Low,December 2025
24055,T15003000120,Hawaii,HI,15,Honolulu,County,003,15003,000120,15003000120,2624,"504,925,697.00",0.00,0.87,1.00,0.01,0.87,"504,925,697.00","2,624.00","35,948,800,000.00",0.00,"36,453,725,697.00",0.00,0.00,0.00,Very Low,62.78,0.00,111.44,0.00,174.22,3.36,Very Low,0.00,0.00,0.00,15.12,201.74,2.55,Very Low,December 2025
24056,T15003000121,Hawaii,HI,15,Honolulu,County,003,15003,000121,15003000121,2774,"491,381,281.00",0.00,0.32,1.00,0.01,0.32,"491,381,281.00","2,774.00","38,003,800,000.00",0.00,"38,495,181,281.00",0.00,0.00,0.00,Very Low,61.10,0.00,117.81,0.00,178.90,3.44,Very Low,0.00,0.00,0.00,14.41,140.67,1.78,Very Low,December 2025
24057,T15003000122,Hawaii,HI,15,Honolulu,County,003,15003,000122,15003000122,3112,"474,000,379.00","127,332.00",0.46,1.00,0.01,0.46,"474,000,379.00","3,112.00","42,634,400,000.00","127,332.00","43,108,527,711.00",0.00,0.00,0.00,Very Low,58.93,0.00,132.16,0.19,191.29,3.64,Very Low,0.00,0.00,0.00,13.99,227.83,2.88,Very Low,December 2025
24058,T15003000200,Hawaii,HI,15,Honolulu,County,003,15003,000200,15003000200,5745,"1,095,076,869.00",0.00,4.18,1.00,0.01,3.97,"1,095,076,869.00","5,745.00","78,706,500,000.00",0.00,"79,801,576,869.00",0.00,0.00,0.00,Very Low,136.15,0.00,243.98,0.00,380.14,6.52,Very Low,0.00,0.00,0.00,15.30,298.91,3.75,Very Low,December 2025
24059,T15003000301,Hawaii,HI,15,Honolulu,County,003,15003,000301,15003000301,3608,"1,051,686,629.00",0.00,3.34,1.00,0.01,3.34,"1,051,686,629.00","3,608.00","49,429,600,000.00",0.00,"50,481,286,629.00",0.00,0.00,0.00,Very Low,130.76,0.00,153.23,0.00,283.99,5.08,Very Low,0.00,0.00,0.00,17.98,314.82,3.96,Very Low,December 2025
24060,T15003000302,Hawaii,HI,15,Honolulu,County,003,15003,000302,15003000302,2702,"632,621,262.00",0.00,0.93,1.00,0.01,0.71,"632,621,262.00","2,702.00","37,017,400,000.00",0.00,"37,650,021,262.00",0.00,0.00,0.00,Very Low,78.66,0.00,114.75,0.00,193.41,3.67,Very Low,0.00,0.00,0.00,16.58,152.08,1.93,Very Low,December 2025
24061,T15003000401,Hawaii,HI,15,Honolulu,County,003,15003,000401,15003000401,2758,"627,754,965.00",0.00,2.41,1.00,0.01,2.41,"627,754,965.00","2,758.00","37,784,600,000.00",0.00,"38,412,354,965.00",0.00,0.00,0.00,Very Low,78.05,0.00,117.13,0.00,195.18,3.70,Very Low,0.00,0.00,0.00,16.22,279.13,3.50,Very Low,December 2025
24062,T15003000402,Hawaii,HI,15,Honolulu,County,003,15003,000402,15003000402,4147,"1,381,442,795.00",0.00,1.17,1.00,0.01,1.17,"1,381,442,795.00","4,147.00","56,813,900,000.00",0.00,"58,195,342,795.00",0.00,0.00,0.00,Very Low,171.76,0.00,176.12,0.00,347.88,6.09,Very Low,0.00,0.00,0.00,18.77,353.32,4.47,Very Low,December 2025
