OBJECTID,National Risk Index ID,State Name,State Name Abbreviation,State FIPS Code,County Name,County Type,County FIPS Code,State-County FIPS Code,Census Tract,Census Tract FIPS Code,Population (2020),Building Value ($),Agriculture Value ($),Area (sq mi),Wildfire - Number of Events,Wildfire - Annualized Frequency,Wildfire - Exposure - Impacted Area (sq mi),Wildfire - Exposure - Building Value,Wildfire - Exposure - Population,Wildfire - Exposure - Population Equivalence,Wildfire - Exposure - Agriculture Value,Wildfire - Exposure - Total,Wildfire - Historic Loss Ratio - Buildings,Wildfire - Historic Loss Ratio - Population,Wildfire - Historic Loss Ratio - Agriculture,Wildfire - Historic Loss Ratio - Total Rating,Wildfire - Expected Annual Loss - Building Value,Wildfire - Expected Annual Loss - Population,Wildfire - Expected Annual Loss - Population Equivalence,Wildfire - Expected Annual Loss - Agriculture Value,Wildfire - Expected Annual Loss - Total,Wildfire - Expected Annual Loss Score,Wildfire - Expected Annual Loss Rating,Wildfire - Expected Annual Loss Rate - Building,Wildfire - Expected Annual Loss Rate - Population,Wildfire - Expected Annual Loss Rate - Agriculture,Wildfire - Expected Annual Loss Rate - National Percentile,Wildfire - Hazard Type Risk Index Value,Wildfire - Hazard Type Risk Index Score,Wildfire - Hazard Type Risk Index Rating,National Risk Index Version
24015,T15001021011,Hawaii,HI,15,Hawaii,County,001,15001,021011,15001021011,4388,"672,076,421.00","2,483,796.00",96.08,,0.00,6.71,"242,088,598.20","1,914.36","26,226,762,491.71","2,242,599.33","26,471,093,689.24",0.30,0.00,0.00,Relatively Moderate,"262,980.07",0.00,"19,102.25",28.29,"282,110.61",97.19,Relatively High,0.00,0.00,0.00,96.75,"326,994.27",97.24,Relatively High,December 2025
24016,T15001021013,Hawaii,HI,15,Hawaii,County,001,15001,021013,15001021013,4811,"1,380,195,816.00","34,616,680.00",54.38,,0.00,8.87,"506,608,462.89","2,284.80","31,301,768,538.26","18,922,654.06","31,827,299,655.21",0.30,0.00,0.00,Relatively Moderate,"501,794.57",0.00,"22,473.98",121.40,"524,389.95",98.21,Relatively High,0.00,0.00,0.00,98.04,"729,747.49",98.44,Relatively High,December 2025
24017,T15001021014,Hawaii,HI,15,Hawaii,County,001,15001,021014,15001021014,8402,"866,576,171.00","104,965.00",8.05,,0.00,1.73,"413,367,308.34","4,754.94","65,142,680,378.64","77,069.20","65,556,124,756.17",0.30,0.00,0.00,Relatively Moderate,"249,460.25",0.00,"26,707.77",0.48,"276,168.49",97.15,Relatively High,0.00,0.00,0.00,94.91,"327,927.11",97.24,Relatively High,December 2025
24018,T15001021015,Hawaii,HI,15,Hawaii,County,001,15001,021015,15001021015,6080,"681,492,125.00","110,929.00",8.11,,0.00,1.25,"312,990,029.67","3,251.53","44,545,899,188.84","70,226.14","44,858,959,444.65",0.30,0.00,0.00,Relatively Moderate,"184,231.23",0.00,"17,561.87",0.43,"201,793.53",96.55,Relatively High,0.00,0.00,0.00,95.34,"263,147.30",96.81,Relatively High,December 2025
24019,T15001021016,Hawaii,HI,15,Hawaii,County,001,15001,021016,15001021016,5525,"451,640,221.00","916,719.00",27.09,,0.00,2.25,"294,027,240.45","4,081.03","55,910,155,889.09","753,348.88","56,204,936,478.42",0.30,0.00,0.00,Relatively Moderate,"340,379.41",0.00,"45,695.39",8.49,"386,083.30",97.77,Relatively High,0.00,0.00,0.00,94.49,"651,666.79",98.31,Relatively High,December 2025
24020,T15001021017,Hawaii,HI,15,Hawaii,County,001,15001,021017,15001021017,4572,"417,551,918.00","899,243.00",31.88,,0.00,1.77,"173,338,827.39","2,586.27","35,431,842,968.41","754,189.96","35,605,935,985.76",0.30,0.00,0.00,Relatively Moderate,"178,072.17",0.00,"25,691.04",8.41,"203,771.62",96.58,Relatively High,0.00,0.00,0.00,93.73,"295,270.50",97.04,Relatively High,December 2025
24021,T15001021101,Hawaii,HI,15,Hawaii,County,001,15001,021101,15001021101,2793,"591,940,025.00","12,858,548.00",45.82,,0.00,4.47,"203,014,258.53","1,273.14","17,442,042,645.28","11,037,753.31","17,656,094,657.12",0.30,0.00,0.00,Relatively Moderate,"156,525.61",0.00,"9,609.92",97.13,"166,232.66",96.10,Relatively Moderate,0.00,0.00,0.00,96.88,"284,303.03",96.96,Relatively High,December 2025
24022,T15001021107,Hawaii,HI,15,Hawaii,County,001,15001,021107,15001021107,1365,"293,448,012.00","2,593,586.00",186.19,,0.00,2.14,"122,007,105.99",580.67,"7,955,116,274.13","2,412,397.47","8,079,535,777.60",0.30,0.00,0.00,Relatively Moderate,"142,880.35",0.00,"6,357.17",34.34,"149,271.86",95.83,Relatively Moderate,0.00,0.00,0.00,98.34,"249,564.23",96.70,Relatively High,December 2025
24023,T15001021108,Hawaii,HI,15,Hawaii,County,001,15001,021108,15001021108,6319,"786,920,666.00","7,720,087.00",49.29,,0.00,2.90,"175,941,781.69","1,797.34","24,623,544,264.32","6,621,298.21","24,806,107,344.22",0.30,0.00,0.00,Relatively Moderate,"115,370.89",0.00,"9,214.98",37.60,"124,623.48",95.37,Relatively Moderate,0.00,0.00,0.00,95.32,"218,529.50",96.41,Relatively High,December 2025
24024,T15001021203,Hawaii,HI,15,Hawaii,County,001,15001,021203,15001021203,6079,"750,961,781.00","38,673,971.00",803.05,,0.00,39.99,"283,306,573.46","2,637.43","36,132,852,459.75","26,842,948.68","36,443,001,981.90",0.30,0.00,0.00,Relatively Moderate,"199,238.89",0.00,"9,599.35",293.17,"209,131.41",96.62,Relatively High,0.00,0.00,0.00,97.55,"243,619.17",96.64,Relatively High,December 2025
24025,T15001021204,Hawaii,HI,15,Hawaii,County,001,15001,021204,15001021204,2855,"431,675,256.00","7,794,577.00",169.93,,0.01,28.57,"139,756,134.57","1,209.66","16,572,284,477.52","7,369,600.50","16,719,410,212.59",0.30,0.00,0.00,Relatively Moderate,"188,332.71",0.00,"14,510.98",125.97,"202,969.67",96.56,Relatively High,0.00,0.00,0.00,96.65,"275,695.23",96.90,Relatively High,December 2025
24026,T15001021300,Hawaii,HI,15,Hawaii,County,001,15001,021300,15001021300,5913,"975,908,646.00","40,875,946.00",338.78,,0.00,19.11,"324,027,111.99","2,510.14","34,388,881,935.96","31,457,826.27","34,744,366,874.22",0.30,0.00,0.00,Relatively Moderate,"196,449.07",0.00,"13,616.13",137.65,"210,202.85",96.64,Relatively High,0.00,0.00,0.00,96.20,"215,998.81",96.39,Relatively High,December 2025
