OBJECTID,National Risk Index ID,State Name,State Name Abbreviation,State FIPS Code,County Name,County Type,County FIPS Code,State-County FIPS Code,Census Tract,Census Tract FIPS Code,Population (2020),Building Value ($),Agriculture Value ($),Area (sq mi),Expected Annual Loss - Score - Composite,Expected Annual Loss - Rating - Composite,Expected Annual Loss - State Percentile - Composite,Expected Annual Loss - Total - Composite,Expected Annual Loss - Building Value - Composite,Expected Annual Loss - Population - Composite,Expected Annual Loss - Population Equivalence - Composite,Expected Annual Loss - Agriculture Value - Composite,Expected Annual Loss Rate - Building - Composite,Expected Annual Loss Rate - Population - Composite,Expected Annual Loss Rate - Agriculture - Composite,Expected Annual Loss Rate - National Percentile - Composite,Social Vulnerability and Community Resilience Adjusted Expected Annual Loss Rate - National Percentile - Composite,National Risk Index Version
24013,T15001020900,Hawaii,HI,15,Hawaii,County,001,15001,020900,15001020900,4802,640400631,702684,11.19856101,99.0757920943232,Very High,96.3218390804598,9236396.9054912,7600261.64103239,0.119035128322976,1630781.25792485,5354.00643294305,0.0133224981698057,2.47886564604282E-05,0.00855319048150067,95.6232238062804,95.8700486366285,December 2025
24014,T15001021003,Hawaii,HI,15,Hawaii,County,001,15001,021003,15001021003,7423,635749363,696038,13.20673224,98.6870845761796,Very High,94.7126436781609,8060969.19776081,7017318.28941983,0.0761769188035433,1043623.78760822,27.1207346651139,0.0123906508260623,1.02622819350052E-05,4.37398752110551E-05,97.9413767996806,98.0414541043844,December 2025
24015,T15001021011,Hawaii,HI,15,Hawaii,County,001,15001,021011,15001021011,4388,672076421,2483796,96.0790662,99.0499565493107,Very High,96.0919540229885,9129954.76812261,7948860.02609171,0.0862001900591403,1180942.60388422,152.138054297916,0.0132768505765919,1.96445282723656E-05,6.87592020042819E-05,97.9531202292317,98.0438324236262,December 2025
24016,T15001021013,Hawaii,HI,15,Hawaii,County,001,15001,021013,15001021013,4811,1380195816,34616680,54.38471727,99.6453484275548,Very High,98.8505747126437,13057958.5757462,12073240.244022,0.0717839537578861,983440.16648279,1278.16538784794,0.00981955965682935,1.49207968733914E-05,4.14486627887437E-05,99.4633252695117,99.519579513158,December 2025
24017,T15001021014,Hawaii,HI,15,Hawaii,County,001,15001,021014,15001021014,8402,866576171,104965,8.0512536,99.3294501726284,Very High,97.4712643678161,10499605.2294221,9485849.81016704,0.0739964541392271,1013751.42170325,3.99751156839837,0.0122879200889306,8.80700477734195E-06,4.27518482262806E-05,99.0088545458816,99.0569964206295,December 2025
24018,T15001021015,Hawaii,HI,15,Hawaii,County,001,15001,021015,15001021015,6080,681492125,110929,8.10988347,98.7305352655189,Very High,94.9425287356322,8172168.04337335,7335929.31483111,0.0610390206477623,836234.582881473,4.14588882694922,0.012083790115759,1.00393126065398E-05,4.19547939337896E-05,98.8350517885243,98.8988381910504,December 2025
24019,T15001021016,Hawaii,HI,15,Hawaii,County,001,15001,021016,15001021016,5525,451640221,916719,27.08654559,97.1815769077201,Relatively High,92.4137931034483,5864354.46623773,5002560.3545995,0.0629018184892453,861754.913301874,39.1983523086909,0.0124339352899323,1.13849445229403E-05,4.79999611927155E-05,97.2168071963736,97.3184450548797,December 2025
24020,T15001021017,Hawaii,HI,15,Hawaii,County,001,15001,021017,15001021017,4572,417551918,899243,31.87544919,96.2467999154473,Relatively High,91.2643678160919,5221498.44992184,4426875.97623814,0.0579987607317378,794583.021997098,39.4514154986631,0.0119013368797519,1.26856432046671E-05,4.92487070320923E-05,96.9525800314724,97.0687215344916,December 2025
24021,T15001021101,Hawaii,HI,15,Hawaii,County,001,15001,021101,15001021101,2793,591940025,12858548,45.82308588,98.4886206167649,Very High,94.0229885057471,7572251.76103327,6572352.56423304,0.0729465916502588,999368.305610243,530.890750334217,0.0124638445139252,2.61176482815105E-05,4.63470527016129E-05,97.825116847124,97.9570237713008,December 2025
24022,T15001021107,Hawaii,HI,15,Hawaii,County,001,15001,021107,15001021107,1365,293448012,2593586,186.18956343,90.7473518566362,Relatively High,84.1379310344828,3610730.7234656,2943529.02508341,0.04869088119,667065.072298399,136.626066434003,0.011260198005936,3.56709752307692E-05,5.91346291563815E-05,95.1264767362661,95.4122221825836,December 2025
