OBJECTID,National Risk Index ID,State Name,State Name Abbreviation,State FIPS Code,County Name,County Type,County FIPS Code,State-County FIPS Code,Census Tract,Census Tract FIPS Code,Population (2020),Building Value ($),Agriculture Value ($),Area (sq mi),Landslide - Number of Events,Landslide - Annualized Frequency,Landslide - Exposure - Impacted Area (sq mi),Landslide - Exposure - Building Value,Landslide - Exposure - Population,Landslide - Exposure - Population Equivalence,Landslide - Exposure - Total,Landslide - Historic Loss Ratio - Buildings,Landslide - Historic Loss Ratio - Population,Landslide - Historic Loss Ratio - Total Rating,Landslide - Expected Annual Loss - Building Value,Landslide - Expected Annual Loss - Population,Landslide - Expected Annual Loss - Population Equivalence,Landslide - Expected Annual Loss - Total,Landslide - Expected Annual Loss Score,Landslide - Expected Annual Loss Rating,Landslide - Expected Annual Loss Rate - Building,Landslide - Expected Annual Loss Rate - Population,Landslide - Expected Annual Loss Rate - National Percentile,Landslide - Hazard Type Risk Index Value,Landslide - Hazard Type Risk Index Score,Landslide - Hazard Type Risk Index Rating,National Risk Index Version
24018,T15001021015,Hawaii,HI,15,Hawaii,County,001,15001,021015,15001021015,6080,"681,492,125.00","110,929.00",8.11,,0.00,0.06,"789,499.62",5.15,"70,522,659.52","71,312,159.14",0.00,0.00,Very Low,0.01,0.00,0.07,0.08,20.33,Very Low,0.00,0.00,15.24,0.10,21.14,Very Low,December 2025
24019,T15001021016,Hawaii,HI,15,Hawaii,County,001,15001,021016,15001021016,5525,"451,640,221.00","916,719.00",27.09,,0.01,0.07,"707,137.18",5.02,"68,836,396.73","69,543,533.92",0.00,0.00,Very Low,0.04,0.00,0.29,0.33,29.44,Very Low,0.00,0.00,17.58,0.56,32.90,Very Low,December 2025
24020,T15001021017,Hawaii,HI,15,Hawaii,County,001,15001,021017,15001021017,4572,"417,551,918.00","899,243.00",31.88,,0.02,0.03,"219,747.92",1.98,"27,121,819.75","27,341,567.67",0.00,0.00,Very Low,0.02,0.00,0.14,0.16,24.11,Very Low,0.00,0.00,14.75,0.23,25.86,Very Low,December 2025
24021,T15001021101,Hawaii,HI,15,Hawaii,County,001,15001,021101,15001021101,2793,"591,940,025.00","12,858,548.00",45.82,,0.05,0.28,"3,363,573.66",15.10,"206,926,600.28","210,290,173.94",0.00,0.00,Very Low,0.66,0.00,2.99,3.65,51.40,Very Low,0.00,0.00,28.41,6.24,56.43,Very Low,December 2025
24022,T15001021107,Hawaii,HI,15,Hawaii,County,001,15001,021107,15001021107,1365,"293,448,012.00","2,593,586.00",186.19,,0.24,0.09,"1,163,194.27",7.11,"97,393,063.62","98,556,257.88",0.00,0.00,Relatively Low,1.14,0.00,7.10,8.24,59.54,Very Low,0.00,0.00,28.58,13.78,64.33,Very Low,December 2025
24023,T15001021108,Hawaii,HI,15,Hawaii,County,001,15001,021108,15001021108,6319,"786,920,666.00","7,720,087.00",49.29,,0.03,0.13,"1,777,133.51",13.32,"182,525,831.39","184,302,964.91",0.00,0.00,Very Low,0.19,0.00,1.48,1.67,43.64,Very Low,0.00,0.00,19.26,2.93,48.59,Very Low,December 2025
24024,T15001021203,Hawaii,HI,15,Hawaii,County,001,15001,021203,15001021203,6079,"750,961,781.00","38,673,971.00",803.05,,2.33,1.37,"16,382,706.20",137.05,"1,877,638,088.90","1,894,020,795.10",0.00,0.00,Relatively Low,154.76,0.00,"1,315.29","1,470.05",93.09,Relatively Low,0.00,0.00,31.52,"1,712.47",93.75,Relatively Low,December 2025
24025,T15001021204,Hawaii,HI,15,Hawaii,County,001,15001,021204,15001021204,2855,"431,675,256.00","7,794,577.00",169.93,,0.15,0.47,"6,433,139.41",48.24,"660,939,723.05","667,372,862.45",0.00,0.00,Very Low,4.02,0.00,30.65,34.67,72.44,Very Low,0.00,0.00,28.23,47.09,74.87,Very Low,December 2025
24026,T15001021300,Hawaii,HI,15,Hawaii,County,001,15001,021300,15001021300,5913,"975,908,646.00","40,875,946.00",338.78,,1.34,2.36,"180,920,470.71","1,073.36","14,704,971,998.47","14,885,892,469.18",0.00,0.00,Relatively Low,983.53,0.00,"5,927.77","6,911.30",96.84,Relatively Moderate,0.00,0.00,38.08,"7,101.87",97.04,Relatively Moderate,December 2025
24027,T15001021402,Hawaii,HI,15,Hawaii,County,001,15001,021402,15001021402,3876,"906,219,252.00","5,340,816.00",18.82,,0.03,0.89,"64,529,406.43",308.71,"4,229,342,347.03","4,293,871,753.47",0.00,0.00,Very Low,8.62,0.00,41.89,50.51,75.34,Very Low,0.00,0.00,34.74,59.92,76.75,Very Low,December 2025
24028,T15001021502,Hawaii,HI,15,Hawaii,County,001,15001,021502,15001021502,5432,"950,596,034.00","16,940,046.00",365.81,,1.61,1.73,"144,729,127.11",846.21,"11,593,015,794.96","11,737,744,922.06",0.00,0.00,Relatively Low,944.78,0.00,"5,611.74","6,556.52",96.75,Relatively Moderate,0.00,0.00,38.31,"6,456.05",96.86,Relatively Moderate,December 2025
24029,T15001021504,Hawaii,HI,15,Hawaii,County,001,15001,021504,15001021504,5932,"1,489,513,611.00","16,685.00",14.92,,0.01,0.31,"12,844,935.77",69.79,"956,181,824.31","969,026,760.08",0.00,0.00,Very Low,0.36,0.00,2.01,2.37,47.09,Very Low,0.00,0.00,21.87,3.84,51.46,Very Low,December 2025
24030,T15001021510,Hawaii,HI,15,Hawaii,County,001,15001,021510,15001021510,3550,"1,253,964,520.00","1,263,701.00",12.89,,0.04,0.63,"71,852,139.79",313.48,"4,294,725,619.02","4,366,577,758.80",0.00,0.00,Very Low,10.96,0.00,48.57,59.53,76.56,Very Low,0.00,0.00,35.94,102.79,80.51,Very Low,December 2025
24031,T15001021511,Hawaii,HI,15,Hawaii,County,001,15001,021511,15001021511,1568,"261,669,134.00","806,989.00",1.37,,0.01,0.35,"51,718,111.22",335.78,"4,600,212,472.95","4,651,930,584.17",0.00,0.00,Very Low,2.36,0.00,15.56,17.91,66.87,Very Low,0.00,0.00,30.16,18.10,66.89,Very Low,December 2025
24032,T15001021512,Hawaii,HI,15,Hawaii,County,001,15001,021512,15001021512,4531,"686,393,852.00","489,784.00",6.75,,0.01,0.47,"25,695,730.35",145.55,"1,993,996,286.97","2,019,692,017.31",0.00,0.00,Very Low,0.93,0.00,5.35,6.28,56.89,Very Low,0.00,0.00,26.45,7.22,57.92,Very Low,December 2025
24033,T15001021513,Hawaii,HI,15,Hawaii,County,001,15001,021513,15001021513,6109,"1,680,242,360.00","474,845.00",107.38,,0.13,0.77,"94,108,121.69",647.29,"8,867,935,454.00","8,962,043,575.69",0.00,0.00,Very Low,47.94,0.00,335.00,382.95,87.78,Relatively Low,0.00,0.00,31.87,372.90,87.84,Relatively Low,December 2025
24034,T15001021605,Hawaii,HI,15,Hawaii,County,001,15001,021605,15001021605,3787,"1,324,028,715.00","542,345.00",5.94,,0.01,0.36,"30,515,747.87",111.23,"1,523,900,709.84","1,554,416,457.70",0.00,0.00,Very Low,1.03,0.00,3.82,4.86,54.29,Very Low,0.00,0.00,29.70,4.38,52.82,Very Low,December 2025
24035,T15001021606,Hawaii,HI,15,Hawaii,County,001,15001,021606,15001021606,4120,"751,565,820.00","686,809.00",2.58,,0.01,0.35,"27,474,272.02",118.77,"1,627,094,727.47","1,654,568,999.49",0.00,0.00,Very Low,1.01,0.00,4.42,5.43,55.38,Very Low,0.00,0.00,29.61,5.66,55.42,Very Low,December 2025
24036,T15001021607,Hawaii,HI,15,Hawaii,County,001,15001,021607,15001021607,4452,"837,355,859.00","158,411.00",1.94,,0.01,0.73,"172,948,654.22",786.41,"10,773,776,495.62","10,946,725,149.84",0.00,0.00,Very Low,9.60,0.00,44.33,53.93,75.82,Very Low,0.00,0.00,36.09,62.73,77.06,Very Low,December 2025
24037,T15001021608,Hawaii,HI,15,Hawaii,County,001,15001,021608,15001021608,3832,"883,520,606.00",0.00,2.28,,0.00,0.07,"5,546,141.74",14.14,"193,697,466.08","199,243,607.82",0.00,0.00,Very Low,0.01,0.00,0.02,0.02,15.59,Very Low,0.00,0.00,20.03,0.02,15.09,Very Low,December 2025
