OBJECTID,National Risk Index ID,State Name,State Name Abbreviation,State FIPS Code,County Name,County Type,County FIPS Code,State-County FIPS Code,Census Tract,Census Tract FIPS Code,Population (2020),Building Value ($),Agriculture Value ($),Area (sq mi),Hurricane - Number of Events,Hurricane - Annualized Frequency,Hurricane - Exposure - Impacted Area (sq mi),Hurricane - Exposure - Building Value,Hurricane - Exposure - Population,Hurricane - Exposure - Population Equivalence,Hurricane - Exposure - Agriculture Value,Hurricane - Exposure - Total,Hurricane - Historic Loss Ratio - Buildings,Hurricane - Historic Loss Ratio - Population,Hurricane - Historic Loss Ratio - Agriculture,Hurricane - Historic Loss Ratio - Total Rating,Hurricane - Expected Annual Loss - Building Value,Hurricane - Expected Annual Loss - Population,Hurricane - Expected Annual Loss - Population Equivalence,Hurricane - Expected Annual Loss - Agriculture Value,Hurricane - Expected Annual Loss - Total,Hurricane - Expected Annual Loss Score,Hurricane - Expected Annual Loss Rating,Hurricane - Expected Annual Loss Rate - Building,Hurricane - Expected Annual Loss Rate - Population,Hurricane - Expected Annual Loss Rate - Agriculture,Hurricane - Expected Annual Loss Rate - National Percentile,Hurricane - Hazard Type Risk Index Value,Hurricane - Hazard Type Risk Index Score,Hurricane - Hazard Type Risk Index Rating,National Risk Index Version
24023,T15001021108,Hawaii,HI,15,Hawaii,County,001,15001,021108,15001021108,6319,"786,920,666.00","7,720,087.00",49.29,2,0.05,43.87,"740,103,873.90","5,910","80,970,804,464.67","6,607,418.21","81,717,515,756.78",0.00,0.00,0.00,Very Low,"8,736.81",0.00,"1,512.88",203.29,"10,452.98",52.16,Relatively Low,0.00,0.00,0.00,43.57,"18,329.48",55.57,Relatively Low,December 2025
24024,T15001021203,Hawaii,HI,15,Hawaii,County,001,15001,021203,15001021203,6079,"750,961,781.00","38,673,971.00",803.05,6,0.06,790.59,"750,961,781.00","6,079","83,282,300,000.00","38,673,971.00","84,071,935,752.00",0.00,0.00,0.00,Very Low,"8,957.92",0.00,"1,559.01","1,203.51","11,720.44",52.85,Relatively Low,0.00,0.00,0.00,44.64,"13,653.25",53.60,Relatively Low,December 2025
24025,T15001021204,Hawaii,HI,15,Hawaii,County,001,15001,021204,15001021204,2855,"431,675,256.00","7,794,577.00",169.93,3,0.05,148.55,"431,675,256.00","2,855","39,113,500,000.00","7,395,476.49","39,552,570,732.49",0.00,0.00,0.00,Very Low,"5,090.44",0.00,730.24,210.92,"6,031.60",48.40,Very Low,0.00,0.00,0.00,45.51,"8,192.77",50.21,Very Low,December 2025
24026,T15001021300,Hawaii,HI,15,Hawaii,County,001,15001,021300,15001021300,5913,"975,908,646.00","40,875,946.00",338.78,6,0.05,316.55,"975,908,646.00","5,913","81,008,100,000.00","40,390,319.87","82,024,398,965.87",0.00,0.00,0.00,Very Low,"11,520.45",0.00,"1,513.57","1,242.70","14,276.72",54.20,Relatively Low,0.00,0.00,0.00,46.27,"14,670.37",54.07,Relatively Low,December 2025
24027,T15001021402,Hawaii,HI,15,Hawaii,County,001,15001,021402,15001021402,3876,"906,219,252.00","5,340,816.00",18.82,6,0.05,16.36,"906,219,252.00","3,876","53,101,200,000.00","5,340,816.00","54,012,760,068.00",0.00,0.00,0.00,Relatively Low,"10,697.78",0.00,992.15,164.32,"11,854.25",52.94,Relatively Low,0.00,0.00,0.00,47.76,"14,065.06",53.77,Relatively Low,December 2025
24028,T15001021502,Hawaii,HI,15,Hawaii,County,001,15001,021502,15001021502,5432,"950,596,034.00","16,940,046.00",365.81,6,0.05,365.81,"950,596,034.00","5,432","74,418,400,000.00","16,724,055.83","75,385,720,089.83",0.00,0.00,0.00,Very Low,"11,221.68",0.00,"1,390.45",514.55,"13,126.69",53.62,Relatively Low,0.00,0.00,0.00,46.39,"12,925.54",53.24,Relatively Low,December 2025
24029,T15001021504,Hawaii,HI,15,Hawaii,County,001,15001,021504,15001021504,5932,"1,489,513,611.00","16,685.00",14.92,0,0.05,12.04,"1,489,513,611.00","5,932","81,268,400,000.00","16,685.00","82,757,930,296.00",0.00,0.00,0.00,Relatively Low,"17,583.47",0.00,"1,518.44",0.51,"19,102.42",56.44,Relatively Low,0.00,0.00,0.00,48.09,"30,937.15",60.49,Relatively Low,December 2025
24030,T15001021510,Hawaii,HI,15,Hawaii,County,001,15001,021510,15001021510,3550,"1,253,964,520.00","1,263,701.00",12.89,3,0.05,8.86,"1,238,241,667.26","3,533","48,407,238,436.58","1,263,701.00","49,646,743,804.85",0.00,0.00,0.00,Relatively Low,"14,617.25",0.00,904.45,38.88,"15,560.58",54.80,Relatively Low,0.00,0.00,0.00,49.17,"26,868.69",58.86,Relatively Low,December 2025
24031,T15001021511,Hawaii,HI,15,Hawaii,County,001,15001,021511,15001021511,1568,"261,669,134.00","806,989.00",1.37,3,0.05,1.37,"261,669,134.00","1,568","21,481,600,000.00","806,989.00","21,744,076,123.00",0.00,0.00,0.00,Very Low,"3,088.96",0.00,401.37,24.83,"3,515.16",44.19,Very Low,0.00,0.00,0.00,46.02,"3,551.31",43.81,Very Low,December 2025
24032,T15001021512,Hawaii,HI,15,Hawaii,County,001,15001,021512,15001021512,4531,"686,393,852.00","489,784.00",6.75,0,0.05,6.75,"686,393,852.00","4,531","62,074,700,000.00","489,784.00","62,761,583,636.00",0.00,0.00,0.00,Very Low,"8,102.77",0.00,"1,159.82",15.07,"9,277.66",51.37,Relatively Low,0.00,0.00,0.00,45.43,"10,664.64",51.98,Relatively Low,December 2025
24033,T15001021513,Hawaii,HI,15,Hawaii,County,001,15001,021513,15001021513,6109,"1,680,242,360.00","474,845.00",107.38,0,0.04,88.73,"1,680,242,360.00","6,109","83,693,300,000.00","474,845.00","85,374,017,205.00",0.00,0.00,0.00,Relatively Low,"16,310.88",0.00,"1,545.49",13.13,"17,869.50",55.88,Relatively Low,0.00,0.00,0.00,46.55,"17,400.87",55.24,Relatively Low,December 2025
24034,T15001021605,Hawaii,HI,15,Hawaii,County,001,15001,021605,15001021605,3787,"1,324,028,715.00","542,345.00",5.94,0,0.05,4.31,"1,324,028,715.00","3,787","51,881,900,000.00","542,345.00","53,206,471,060.00",0.00,0.00,0.00,Relatively Low,"15,629.95",0.00,969.37,16.69,"16,616.01",55.30,Relatively Low,0.00,0.00,0.00,49.21,"14,984.32",54.23,Relatively Low,December 2025
24035,T15001021606,Hawaii,HI,15,Hawaii,County,001,15001,021606,15001021606,4120,"751,565,820.00","686,809.00",2.58,0,0.05,2.58,"751,565,820.00","4,120","56,444,000,000.00","686,809.00","57,196,252,629.00",0.00,0.00,0.00,Very Low,"8,872.12",0.00,"1,054.61",21.13,"9,947.86",51.83,Relatively Low,0.00,0.00,0.00,46.46,"10,372.01",51.80,Relatively Low,December 2025
24036,T15001021607,Hawaii,HI,15,Hawaii,County,001,15001,021607,15001021607,4452,"837,355,859.00","158,411.00",1.94,0,0.05,1.94,"837,355,859.00","4,452","60,992,400,000.00","158,411.00","61,829,914,270.00",0.00,0.00,0.00,Very Low,"9,884.85",0.00,"1,139.59",4.87,"11,029.32",52.48,Relatively Low,0.00,0.00,0.00,46.63,"12,830.23",53.20,Relatively Low,December 2025
24037,T15001021608,Hawaii,HI,15,Hawaii,County,001,15001,021608,15001021608,3832,"883,520,606.00",0.00,2.28,0,0.05,1.12,"883,520,606.00","3,832","52,498,400,000.00",0.00,"53,381,920,606.00",0.00,0.00,0.00,Relatively Low,"10,429.82",0.00,980.89,0.00,"11,410.71",52.68,Relatively Low,0.00,0.00,0.00,47.65,"11,011.03",52.19,Relatively Low,December 2025
24038,T15001021705,Hawaii,HI,15,Hawaii,County,001,15001,021705,15001021705,6366,"1,270,230,035.00","4,790,189.00",42.04,0,0.01,42.04,"1,270,230,035.00","6,366","87,214,200,000.00","4,790,189.00","88,489,220,224.00",0.00,0.00,0.00,Very Low,"2,793.03",0.00,297.20,27.90,"3,118.13",43.22,Very Low,0.00,0.00,0.00,33.04,"3,239.33",43.00,Very Low,December 2025
24039,T15001021706,Hawaii,HI,15,Hawaii,County,001,15001,021706,15001021706,3795,"884,836,317.00","18,715,023.00",162.24,0,0.03,162.24,"884,836,317.00","3,795","51,991,500,000.00","18,715,023.00","52,895,051,340.00",0.00,0.00,0.00,Very Low,"2,367.85",0.00,263.00,134.44,"2,765.29",42.18,Very Low,0.00,0.00,0.00,34.44,"3,242.71",43.01,Very Low,December 2025
24040,T15001021707,Hawaii,HI,15,Hawaii,County,001,15001,021707,15001021707,4997,"866,377,170.00","12,871,697.00",63.10,0,0.01,63.10,"866,377,170.00","4,997","68,458,900,000.00","12,871,697.00","69,338,148,867.00",0.00,0.00,0.00,Very Low,"1,943.21",0.00,243.03,75.25,"2,261.49",40.52,Very Low,0.00,0.00,0.00,32.77,"2,278.44",40.09,Very Low,December 2025
24041,T15001021708,Hawaii,HI,15,Hawaii,County,001,15001,021708,15001021708,4152,"2,527,025,217.00","3,646,817.00",94.38,0,0.01,79.66,"2,527,025,217.00","4,152","56,882,400,000.00","3,646,817.00","59,413,072,034.00",0.00,0.00,0.00,Very Low,"5,653.60",0.00,201.93,19.28,"5,874.81",48.19,Very Low,0.00,0.00,0.00,35.41,"7,130.53",49.23,Very Low,December 2025
24042,T15001021800,Hawaii,HI,15,Hawaii,County,001,15001,021800,15001021800,6927,"1,318,845,881.00","24,839,420.00",157.17,0,0.01,142.52,"1,318,845,881.00","6,927","94,899,900,000.00","24,839,420.00","96,243,585,301.00",0.00,0.00,0.00,Very Low,"2,958.07",0.00,336.89,145.21,"3,440.17",44.00,Very Low,0.00,0.00,0.00,33.17,"3,729.55",44.23,Very Low,December 2025
24043,T15001021902,Hawaii,HI,15,Hawaii,County,001,15001,021902,15001021902,4199,"736,627,875.00","13,353,438.00",129.29,0,0.02,116.53,"736,627,875.00","4,199","57,526,300,000.00","13,353,438.00","58,276,281,313.00",0.00,0.00,0.00,Very Low,"4,270.35",0.00,532.88,195.02,"4,998.26",46.93,Very Low,0.00,0.00,0.00,40.17,"6,674.00",48.75,Very Low,December 2025
24044,T15001022000,Hawaii,HI,15,Hawaii,County,001,15001,022000,15001022000,2678,"375,920,365.00","31,687,785.00",477.39,3,0.05,469.23,"375,920,365.00","2,678","36,688,600,000.00","31,687,785.00","37,096,208,150.00",0.00,0.00,0.00,Very Low,"2,254.31",0.00,342.75,455.75,"3,052.81",43.04,Very Low,0.00,0.00,0.00,40.19,"3,413.63",43.46,Very Low,December 2025
24045,T15001022102,Hawaii,HI,15,Hawaii,County,001,15001,022102,15001022102,2100,"374,194,684.00","16,997,086.00",330.62,5,0.06,323.84,"374,194,684.00","2,100","28,770,000,000.00","16,997,086.00","29,161,191,770.00",0.00,0.00,0.00,Very Low,"2,276.96",0.00,268.77,469.25,"3,014.98",42.92,Very Low,0.00,0.00,0.00,42.40,"3,906.72",44.59,Very Low,December 2025
24046,T15003000107,Hawaii,HI,15,Honolulu,County,003,15003,000107,15003000107,2740,"420,741,753.00","40,385.00",1.18,0,0.03,1.18,"420,741,753.00","2,740","37,538,000,000.00","40,385.00","37,958,782,138.00",0.00,0.00,0.00,Very Low,"2,483.40",0.00,350.68,0.62,"2,834.70",42.39,Very Low,0.00,0.00,0.00,39.59,"2,228.94",39.91,Very Low,December 2025
24047,T15003000108,Hawaii,HI,15,Honolulu,County,003,15003,000108,15003000108,3213,"708,351,504.00",0.00,0.54,0,0.03,0.54,"708,351,504.00","3,213","44,018,100,000.00",0.00,"44,726,451,504.00",0.00,0.00,0.00,Very Low,"4,180.99",0.00,411.22,0.00,"4,592.21",46.35,Very Low,0.00,0.00,0.00,41.56,"4,652.49",45.97,Very Low,December 2025
24048,T15003000110,Hawaii,HI,15,Honolulu,County,003,15003,000110,15003000110,4254,"738,534,784.00",0.00,3.00,0,0.03,2.62,"738,534,784.00","4,254","58,279,800,000.00",0.00,"59,018,334,784.00",0.00,0.00,0.00,Very Low,"4,359.14",0.00,544.46,0.00,"4,903.60",46.80,Very Low,0.00,0.00,0.00,40.29,"5,845.68",47.76,Very Low,December 2025
24049,T15003000114,Hawaii,HI,15,Honolulu,County,003,15003,000114,15003000114,1722,"581,702,437.00",0.00,0.75,0,0.03,0.48,"581,702,437.00","1,722","23,591,400,000.00",0.00,"24,173,102,437.00",0.00,0.00,0.00,Very Low,"3,433.45",0.00,220.39,0.00,"3,653.85",44.51,Very Low,0.00,0.00,0.00,43.35,"3,321.38",43.22,Very Low,December 2025
24050,T15003000115,Hawaii,HI,15,Honolulu,County,003,15003,000115,15003000115,2774,"416,834,188.00",0.00,1.20,0,0.03,1.20,"416,834,188.00","2,774","38,003,800,000.00",0.00,"38,420,634,188.00",0.00,0.00,0.00,Very Low,"2,460.33",0.00,355.04,0.00,"2,815.37",42.34,Very Low,0.00,0.00,0.00,39.35,"3,229.97",42.97,Very Low,December 2025
24051,T15003000116,Hawaii,HI,15,Honolulu,County,003,15003,000116,15003000116,2500,"332,294,641.00",0.00,0.47,0,0.03,0.47,"332,294,641.00","2,500","34,250,000,000.00",0.00,"34,582,294,641.00",0.00,0.00,0.00,Very Low,"1,961.34",0.00,319.97,0.00,"2,281.31",40.60,Very Low,0.00,0.00,0.00,38.34,"2,401.46",40.54,Very Low,December 2025
24052,T15003000117,Hawaii,HI,15,Honolulu,County,003,15003,000117,15003000117,1464,"210,911,397.00",0.00,0.34,0,0.03,0.34,"210,911,397.00","1,464","20,056,800,000.00",0.00,"20,267,711,397.00",0.00,0.00,0.00,Very Low,"1,244.89",0.00,187.37,0.00,"1,432.26",36.89,Very Low,0.00,0.00,0.00,38.90,"1,126.19",34.54,Very Low,December 2025
24053,T15003000118,Hawaii,HI,15,Honolulu,County,003,15003,000118,15003000118,1771,"285,011,674.00","112,491.00",1.07,0,0.03,1.07,"285,011,674.00","1,771","24,262,700,000.00","112,491.00","24,547,824,165.00",0.00,0.00,0.00,Very Low,"1,682.26",0.00,226.66,1.73,"1,910.65",39.13,Very Low,0.00,0.00,0.00,39.80,"1,502.36",36.75,Very Low,December 2025
24054,T15003000119,Hawaii,HI,15,Honolulu,County,003,15003,000119,15003000119,2195,"319,953,943.00",0.00,0.29,0,0.03,0.29,"319,953,943.00","2,195","30,071,500,000.00",0.00,"30,391,453,943.00",0.00,0.00,0.00,Very Low,"1,888.50",0.00,280.93,0.00,"2,169.43",40.19,Very Low,0.00,0.00,0.00,39.23,"1,705.83",37.75,Very Low,December 2025
24055,T15003000120,Hawaii,HI,15,Honolulu,County,003,15003,000120,15003000120,2624,"504,925,697.00",0.00,0.87,0,0.03,0.87,"504,925,697.00","2,624","35,948,800,000.00",0.00,"36,453,725,697.00",0.00,0.00,0.00,Very Low,"2,980.28",0.00,335.84,0.00,"3,316.12",43.73,Very Low,0.00,0.00,0.00,40.86,"3,840.04",44.47,Very Low,December 2025
24056,T15003000121,Hawaii,HI,15,Honolulu,County,003,15003,000121,15003000121,2774,"491,381,281.00",0.00,0.32,0,0.03,0.32,"491,381,281.00","2,774","38,003,800,000.00",0.00,"38,495,181,281.00",0.00,0.00,0.00,Very Low,"2,900.34",0.00,355.04,0.00,"3,255.37",43.57,Very Low,0.00,0.00,0.00,40.29,"2,559.71",41.04,Very Low,December 2025
24057,T15003000122,Hawaii,HI,15,Honolulu,County,003,15003,000122,15003000122,3112,"474,000,379.00","127,332.00",0.46,0,0.03,0.46,"474,000,379.00","3,112","42,634,400,000.00","127,332.00","43,108,527,711.00",0.00,0.00,0.00,Very Low,"2,797.75",0.00,398.30,1.96,"3,198.00",43.44,Very Low,0.00,0.00,0.00,39.52,"3,808.86",44.40,Very Low,December 2025
24058,T15003000200,Hawaii,HI,15,Honolulu,County,003,15003,000200,15003000200,5745,"1,095,076,869.00",0.00,4.18,0,0.03,3.97,"1,095,076,869.00","5,745","78,706,500,000.00",0.00,"79,801,576,869.00",0.00,0.00,0.00,Very Low,"6,463.60",0.00,735.28,0.00,"7,198.89",49.70,Very Low,0.00,0.00,0.00,40.91,"5,660.52",47.50,Very Low,December 2025
24059,T15003000301,Hawaii,HI,15,Honolulu,County,003,15003,000301,15003000301,3608,"1,051,686,629.00",0.00,3.34,0,0.03,3.34,"1,051,686,629.00","3,608","49,429,600,000.00",0.00,"50,481,286,629.00",0.00,0.00,0.00,Very Low,"6,207.50",0.00,461.78,0.00,"6,669.27",49.18,Very Low,0.00,0.00,0.00,42.80,"7,393.36",49.48,Very Low,December 2025
24060,T15003000302,Hawaii,HI,15,Honolulu,County,003,15003,000302,15003000302,2702,"632,621,262.00",0.00,0.93,0,0.03,0.71,"632,621,262.00","2,702","37,017,400,000.00",0.00,"37,650,021,262.00",0.00,0.00,0.00,Very Low,"3,734.00",0.00,345.82,0.00,"4,079.82",45.39,Very Low,0.00,0.00,0.00,41.92,"3,207.98",42.92,Very Low,December 2025
