OBJECTID,National Risk Index ID,State Name,State Name Abbreviation,State FIPS Code,County Name,County Type,County FIPS Code,State-County FIPS Code,Census Tract,Census Tract FIPS Code,Population (2020),Building Value ($),Agriculture Value ($),Area (sq mi),Tornado - Number of Events,Tornado - Annualized Frequency,Tornado - Exposure - Impacted Area (sq mi),Tornado - Exposure - Building Value,Tornado - Exposure - Population,Tornado - Exposure - Population Equivalence,Tornado - Exposure - Agriculture Value,Tornado - Exposure - Total,Tornado - Historic Loss Ratio - Buildings,Tornado - Historic Loss Ratio - Population,Tornado - Historic Loss Ratio - Agriculture,Tornado - Historic Loss Ratio - Total Rating,Tornado - Expected Annual Loss - Building Value,Tornado - Expected Annual Loss - Population,Tornado - Expected Annual Loss - Population Equivalence,Tornado - Expected Annual Loss - Agriculture Value,Tornado - Expected Annual Loss - Total,Tornado - Expected Annual Loss Score,Tornado - Expected Annual Loss Rating,Tornado - Expected Annual Loss Rate - Building,Tornado - Expected Annual Loss Rate - Population,Tornado - Expected Annual Loss Rate - Agriculture,Tornado - Expected Annual Loss Rate - National Percentile,Tornado - Hazard Type Risk Index Value,Tornado - Hazard Type Risk Index Score,Tornado - Hazard Type Risk Index Rating,National Risk Index Version
24016,T15001021013,Hawaii,HI,15,Hawaii,County,001,15001,021013,15001021013,4811,"1,380,195,816.00","34,616,680.00",54.38,0.00,0.00,37.58,"1,380,195,816.00","4,811.00","65,910,700,000.00","34,616,680.00","67,325,512,496.00",0.00,0.00,0.00,Very Low,263.36,0.00,8.39,5.15,276.89,1.69,Very Low,0.00,0.00,0.00,4.85,385.33,1.79,Very Low,December 2025
24017,T15001021014,Hawaii,HI,15,Hawaii,County,001,15001,021014,15001021014,8402,"866,576,171.00","104,965.00",8.05,0.00,0.00,7.53,"866,576,171.00","8,402.00","115,107,400,000.00","104,965.00","115,974,081,136.00",0.00,0.00,0.00,Very Low,165.35,0.00,14.64,0.01,180.01,1.47,Very Low,0.00,0.00,0.00,3.08,213.74,1.47,Very Low,December 2025
24018,T15001021015,Hawaii,HI,15,Hawaii,County,001,15001,021015,15001021015,6080,"681,492,125.00","110,929.00",8.11,0.00,0.00,7.43,"681,492,125.00","6,080.00","83,296,000,000.00","110,929.00","83,977,603,054.00",0.00,0.00,0.00,Very Low,130.04,0.00,10.60,0.01,140.64,1.29,Very Low,0.00,0.00,0.00,3.10,183.41,1.35,Very Low,December 2025
24019,T15001021016,Hawaii,HI,15,Hawaii,County,001,15001,021016,15001021016,5525,"451,640,221.00","916,719.00",27.09,0.00,0.00,24.77,"451,640,221.00","5,525.00","75,692,500,000.00","916,719.00","76,145,056,940.00",0.00,0.00,0.00,Very Low,86.18,0.00,9.63,0.06,95.87,0.98,Very Low,0.00,0.00,0.00,3.08,161.82,1.25,Very Low,December 2025
24020,T15001021017,Hawaii,HI,15,Hawaii,County,001,15001,021017,15001021017,4572,"417,551,918.00","899,243.00",31.88,1.00,0.00,26.76,"417,551,918.00","4,572.00","62,636,400,000.00","899,243.00","63,054,851,161.00",0.00,0.00,0.00,Very Low,271.82,0.00,184.54,0.19,456.55,2.01,Very Low,0.00,0.00,0.00,3.51,661.55,2.15,Very Low,December 2025
24021,T15001021101,Hawaii,HI,15,Hawaii,County,001,15001,021101,15001021101,2793,"591,940,025.00","12,858,548.00",45.82,0.00,0.00,31.96,"591,940,025.00","2,793.00","38,264,100,000.00","12,858,548.00","38,868,898,573.00",0.00,0.00,0.00,Very Low,112.95,0.00,4.87,3.95,121.77,1.19,Very Low,0.00,0.00,0.00,5.99,208.27,1.45,Very Low,December 2025
24022,T15001021107,Hawaii,HI,15,Hawaii,County,001,15001,021107,15001021107,1365,"293,448,012.00","2,593,586.00",186.19,1.00,0.00,31.21,"293,448,012.00","1,365.00","18,700,500,000.00","2,593,586.00","18,996,541,598.00",0.00,0.00,0.00,Very Low,59.42,0.00,4.98,9.38,73.78,0.73,Very Low,0.00,0.00,0.00,17.37,123.35,1.02,Very Low,December 2025
24023,T15001021108,Hawaii,HI,15,Hawaii,County,001,15001,021108,15001021108,6319,"786,920,666.00","7,720,087.00",49.29,0.00,0.00,32.46,"786,920,666.00","6,319.00","86,570,300,000.00","7,720,087.00","87,364,940,753.00",0.00,0.00,0.00,Very Low,150.16,0.00,11.01,2.66,163.83,1.41,Very Low,0.00,0.00,0.00,4.55,287.28,1.65,Very Low,December 2025
24024,T15001021203,Hawaii,HI,15,Hawaii,County,001,15001,021203,15001021203,6079,"750,961,781.00","38,673,971.00",803.05,2.00,0.00,274.72,"750,961,781.00","6,079.00","83,282,300,000.00","38,673,971.00","84,071,935,752.00",0.00,0.00,0.00,Very Low,682.12,0.00,475.41,31.95,"1,189.48",3.54,Very Low,0.00,0.00,0.00,6.80,"1,385.63",3.42,Very Low,December 2025
24025,T15001021204,Hawaii,HI,15,Hawaii,County,001,15001,021204,15001021204,2855,"431,675,256.00","7,794,577.00",169.93,0.00,0.00,79.55,"431,675,256.00","2,855.00","39,113,500,000.00","7,794,577.00","39,552,969,833.00",0.00,0.00,0.00,Very Low,391.78,0.00,223.06,6.13,620.97,2.27,Very Low,0.00,0.00,0.00,5.66,843.46,2.45,Very Low,December 2025
