OBJECTID,National Risk Index ID,State Name,State Name Abbreviation,State FIPS Code,County Name,County Type,County FIPS Code,State-County FIPS Code,Census Tract,Census Tract FIPS Code,Population (2020),Building Value ($),Agriculture Value ($),Area (sq mi),Tornado - Number of Events,Tornado - Annualized Frequency,Tornado - Exposure - Impacted Area (sq mi),Tornado - Exposure - Building Value,Tornado - Exposure - Population,Tornado - Exposure - Population Equivalence,Tornado - Exposure - Agriculture Value,Tornado - Exposure - Total,Tornado - Historic Loss Ratio - Buildings,Tornado - Historic Loss Ratio - Population,Tornado - Historic Loss Ratio - Agriculture,Tornado - Historic Loss Ratio - Total Rating,Tornado - Expected Annual Loss - Building Value,Tornado - Expected Annual Loss - Population,Tornado - Expected Annual Loss - Population Equivalence,Tornado - Expected Annual Loss - Agriculture Value,Tornado - Expected Annual Loss - Total,Tornado - Expected Annual Loss Score,Tornado - Expected Annual Loss Rating,Tornado - Expected Annual Loss Rate - Building,Tornado - Expected Annual Loss Rate - Population,Tornado - Expected Annual Loss Rate - Agriculture,Tornado - Expected Annual Loss Rate - National Percentile,Tornado - Hazard Type Risk Index Value,Tornado - Hazard Type Risk Index Score,Tornado - Hazard Type Risk Index Rating,National Risk Index Version
24057,T15003000122,Hawaii,HI,15,Honolulu,County,003,15003,000122,15003000122,3112,"474,000,379.00","127,332.00",0.46,0.00,0.00,0.46,"474,000,379.00","3,112.00","42,634,400,000.00","127,332.00","43,108,527,711.00",0.32,0.00,0.07,Very Low,"1,292.12",0.00,730.13,0.07,"2,022.33",5.44,Very Low,0.00,0.00,0.00,14.78,"2,408.61",5.13,Very Low,December 2025
24058,T15003000200,Hawaii,HI,15,Honolulu,County,003,15003,000200,15003000200,5745,"1,095,076,869.00",0.00,4.18,0.00,0.00,3.36,"1,095,076,869.00","5,745.00","78,706,500,000.00",0.00,"79,801,576,869.00",0.04,0.00,0.00,Very Low,"2,985.17",0.00,"1,347.88",0.00,"4,333.05",11.24,Very Low,0.00,0.00,0.00,15.99,"3,407.10",7.10,Very Low,December 2025
24059,T15003000301,Hawaii,HI,15,Honolulu,County,003,15003,000301,15003000301,3608,"1,051,686,629.00",0.00,3.34,0.00,0.00,2.50,"1,051,686,629.00","3,608.00","49,429,600,000.00",0.00,"50,481,286,629.00",0.04,0.00,0.00,Very Low,"2,866.88",0.00,846.50,0.00,"3,713.39",9.48,Very Low,0.00,0.00,0.00,17.41,"4,116.55",8.73,Very Low,December 2025
24060,T15003000302,Hawaii,HI,15,Honolulu,County,003,15003,000302,15003000302,2702,"632,621,262.00",0.00,0.93,0.00,0.00,0.92,"632,621,262.00","2,702.00","37,017,400,000.00",0.00,"37,650,021,262.00",0.16,0.00,0.00,Very Low,"1,724.52",0.00,633.94,0.00,"2,358.46",6.18,Very Low,0.00,0.00,0.00,17.03,"1,854.46",4.19,Very Low,December 2025
24061,T15003000401,Hawaii,HI,15,Honolulu,County,003,15003,000401,15003000401,2758,"627,754,965.00",0.00,2.41,0.00,0.00,1.79,"627,754,965.00","2,758.00","37,784,600,000.00",0.00,"38,412,354,965.00",0.06,0.00,0.00,Very Low,"1,711.26",0.00,647.08,0.00,"2,358.33",6.18,Very Low,0.00,0.00,0.00,17.00,"3,372.68",7.02,Very Low,December 2025
24062,T15003000402,Hawaii,HI,15,Honolulu,County,003,15003,000402,15003000402,4147,"1,381,442,795.00",0.00,1.17,0.00,0.00,1.06,"1,381,442,795.00","4,147.00","56,813,900,000.00",0.00,"58,195,342,795.00",0.13,0.00,0.00,Very Low,"3,765.80",0.00,972.96,0.00,"4,738.76",12.45,Very Low,0.00,0.00,0.00,18.01,"4,812.88",10.45,Very Low,December 2025
24063,T15003000500,Hawaii,HI,15,Honolulu,County,003,15003,000500,15003000500,3872,"1,555,396,221.00",0.00,1.53,0.00,0.00,1.53,"1,555,396,221.00","3,872.00","53,046,400,000.00",0.00,"54,601,796,221.00",0.10,0.00,0.00,Very Low,"4,240.00",0.00,908.44,0.00,"5,148.44",13.55,Very Low,0.00,0.00,0.00,18.93,"4,935.07",10.75,Very Low,December 2025
24064,T15003000600,Hawaii,HI,15,Honolulu,County,003,15003,000600,15003000600,1276,"607,852,535.00",0.00,1.54,0.00,0.00,1.43,"607,852,535.00","1,276.00","17,481,200,000.00",0.00,"18,089,052,535.00",0.10,0.00,0.00,Very Low,"1,657.00",0.00,299.37,0.00,"1,956.37",5.29,Very Low,0.00,0.00,0.00,19.00,"2,048.23",4.49,Very Low,December 2025
24065,T15003000700,Hawaii,HI,15,Honolulu,County,003,15003,000700,15003000700,3215,"603,550,524.00",0.00,0.38,0.00,0.00,0.38,"603,550,524.00","3,215.00","44,045,500,000.00",0.00,"44,649,050,524.00",0.39,0.00,0.00,Very Low,"1,645.27",0.00,754.30,0.00,"2,399.57",6.30,Very Low,0.00,0.00,0.00,15.88,"2,114.63",4.61,Very Low,December 2025
24066,T15003000800,Hawaii,HI,15,Honolulu,County,003,15003,000800,15003000800,3770,"988,495,965.00",0.00,0.44,0.00,0.00,0.44,"988,495,965.00","3,770.00","51,649,000,000.00",0.00,"52,637,495,965.00",0.34,0.00,0.00,Very Low,"2,694.63",0.00,884.51,0.00,"3,579.14",9.15,Very Low,0.00,0.00,0.00,17.36,"4,247.00",9.04,Very Low,December 2025
24067,T15003000901,Hawaii,HI,15,Honolulu,County,003,15003,000901,15003000901,2613,"376,119,907.00",0.00,0.33,0.00,0.00,0.33,"376,119,907.00","2,613.00","35,798,100,000.00",0.00,"36,174,219,907.00",0.45,0.00,0.00,Very Low,"1,025.30",0.00,613.06,0.00,"1,638.36",4.58,Very Low,0.00,0.00,0.00,14.25,"1,618.83",3.79,Very Low,December 2025
24068,T15003000903,Hawaii,HI,15,Honolulu,County,003,15003,000903,15003000903,3039,"442,498,564.00",0.00,0.24,0.00,0.00,0.24,"442,498,564.00","3,039.00","41,634,300,000.00",0.00,"42,076,798,564.00",0.62,0.00,0.00,Very Low,"1,206.25",0.00,713.01,0.00,"1,919.25",5.20,Very Low,0.00,0.00,0.00,14.37,"1,919.43",4.30,Very Low,December 2025
24069,T15003000904,Hawaii,HI,15,Honolulu,County,003,15003,000904,15003000904,1975,"354,072,809.00",0.00,0.25,0.00,0.00,0.25,"354,072,809.00","1,975.00","27,057,500,000.00",0.00,"27,411,572,809.00",0.59,0.00,0.00,Very Low,965.20,0.00,463.37,0.00,"1,428.57",4.14,Very Low,0.00,0.00,0.00,15.66,"1,123.29",2.92,Very Low,December 2025
24070,T15003000905,Hawaii,HI,15,Honolulu,County,003,15003,000905,15003000905,2357,"490,748,993.00",0.00,0.33,0.00,0.00,0.33,"490,748,993.00","2,357.00","32,290,900,000.00",0.00,"32,781,648,993.00",0.45,0.00,0.00,Very Low,"1,337.78",0.00,553.00,0.00,"1,890.77",5.13,Very Low,0.00,0.00,0.00,16.33,"2,009.82",4.43,Very Low,December 2025
24071,T15003001000,Hawaii,HI,15,Honolulu,County,003,15003,001000,15003001000,3145,"326,647,639.00","15,612.00",3.28,0.00,0.00,2.49,"326,647,639.00","3,145.00","43,086,500,000.00","15,612.00","43,413,163,251.00",0.05,0.00,0.02,Very Low,890.44,0.00,737.88,0.02,"1,628.33",4.57,Very Low,0.00,0.00,0.00,11.84,"1,495.85",3.60,Very Low,December 2025
24072,T15003001101,Hawaii,HI,15,Honolulu,County,003,15003,001101,15003001101,1961,"169,190,035.00",0.00,0.12,0.00,0.00,0.12,"169,190,035.00","1,961.00","26,865,700,000.00",0.00,"27,034,890,035.00",1.19,0.01,0.00,Very Low,461.21,0.00,460.09,0.00,921.30,2.94,Very Low,0.00,0.00,0.00,10.95,"1,199.95",3.07,Very Low,December 2025
24073,T15003001102,Hawaii,HI,15,Honolulu,County,003,15003,001102,15003001102,2249,"185,074,403.00",0.00,0.20,0.00,0.00,0.20,"185,074,403.00","2,249.00","30,811,300,000.00",0.00,"30,996,374,403.00",0.75,0.00,0.00,Very Low,504.51,0.00,527.66,0.00,"1,032.17",3.20,Very Low,0.00,0.00,0.00,10.59,"1,486.59",3.59,Very Low,December 2025
24074,T15003001201,Hawaii,HI,15,Honolulu,County,003,15003,001201,15003001201,3022,"440,272,231.00",0.00,0.21,0.00,0.00,0.21,"440,272,231.00","3,022.00","41,401,400,000.00",0.00,"41,841,672,231.00",0.71,0.00,0.00,Very Low,"1,200.18",0.00,709.02,0.00,"1,909.19",5.18,Very Low,0.00,0.00,0.00,14.62,"1,863.79",4.21,Very Low,December 2025
24075,T15003001202,Hawaii,HI,15,Honolulu,County,003,15003,001202,15003001202,3254,"339,011,590.00",0.00,0.20,0.00,0.00,0.20,"339,011,590.00","3,254.00","44,579,800,000.00",0.00,"44,918,811,590.00",0.73,0.00,0.00,Very Low,924.14,0.00,763.45,0.00,"1,687.59",4.70,Very Low,0.00,0.00,0.00,11.76,"1,740.26",4.02,Very Low,December 2025
24076,T15003001300,Hawaii,HI,15,Honolulu,County,003,15003,001300,15003001300,4434,"831,364,011.00",0.00,0.36,0.00,0.00,0.36,"831,364,011.00","4,434.00","60,745,800,000.00",0.00,"61,577,164,011.00",0.41,0.00,0.00,Very Low,"2,266.29",0.00,"1,040.30",0.00,"3,306.59",8.43,Very Low,0.00,0.00,0.00,15.89,"3,724.88",7.79,Very Low,December 2025
24077,T15003001400,Hawaii,HI,15,Honolulu,County,003,15003,001400,15003001400,2655,"393,739,190.00",0.00,0.20,0.00,0.00,0.20,"393,739,190.00","2,655.00","36,373,500,000.00",0.00,"36,767,239,190.00",0.76,0.00,0.00,Very Low,"1,073.33",0.00,622.91,0.00,"1,696.24",4.72,Very Low,0.00,0.00,0.00,14.59,"1,333.76",3.33,Very Low,December 2025
24078,T15003001501,Hawaii,HI,15,Honolulu,County,003,15003,001501,15003001501,1473,"189,696,231.00",0.00,0.09,0.00,0.00,0.09,"189,696,231.00","1,473.00","20,180,100,000.00",0.00,"20,369,796,231.00",1.71,0.01,0.00,Very Low,517.11,0.00,345.59,0.00,862.70,2.81,Very Low,0.00,0.00,0.00,13.61,980.80,2.68,Very Low,December 2025
24079,T15003001502,Hawaii,HI,15,Honolulu,County,003,15003,001502,15003001502,2334,"332,852,179.00",0.00,0.13,0.00,0.00,0.13,"332,852,179.00","2,334.00","31,975,800,000.00",0.00,"32,308,652,179.00",1.13,0.01,0.00,Very Low,907.35,0.00,547.60,0.00,"1,454.95",4.20,Very Low,0.00,0.00,0.00,14.37,"1,366.09",3.39,Very Low,December 2025
24080,T15003001601,Hawaii,HI,15,Honolulu,County,003,15003,001601,15003001601,1981,"316,741,887.00",0.00,0.12,0.00,0.00,0.12,"316,741,887.00","1,981.00","27,139,700,000.00",0.00,"27,456,441,887.00",1.21,0.01,0.00,Very Low,863.44,0.00,464.78,0.00,"1,328.21",3.90,Very Low,0.00,0.00,0.00,15.21,"1,413.46",3.46,Very Low,December 2025
24081,T15003001602,Hawaii,HI,15,Honolulu,County,003,15003,001602,15003001602,1784,"242,244,281.00",0.00,0.12,0.00,0.00,0.12,"242,244,281.00","1,784.00","24,440,800,000.00",0.00,"24,683,044,281.00",1.25,0.01,0.00,Very Low,660.36,0.00,418.56,0.00,"1,078.91",3.30,Very Low,0.00,0.00,0.00,13.91,"1,431.44",3.49,Very Low,December 2025
24082,T15003001700,Hawaii,HI,15,Honolulu,County,003,15003,001700,15003001700,2327,"568,690,702.00",0.00,1.03,0.00,0.00,1.03,"568,690,702.00","2,327.00","31,879,900,000.00",0.00,"32,448,590,702.00",0.14,0.00,0.00,Very Low,"1,550.24",0.00,545.96,0.00,"2,096.20",5.61,Very Low,0.00,0.00,0.00,16.71,"2,734.04",5.71,Very Low,December 2025
24083,T15003001801,Hawaii,HI,15,Honolulu,County,003,15003,001801,15003001801,1119,"1,046,165,932.00",0.00,0.07,0.00,0.00,0.07,"1,046,165,932.00","1,119.00","15,330,300,000.00",0.00,"16,376,465,932.00",2.26,0.01,0.00,Very Low,"2,851.84",0.00,262.54,0.00,"3,114.38",7.95,Very Low,0.00,0.00,0.00,21.02,"4,463.01",9.57,Very Low,December 2025
24084,T15003001803,Hawaii,HI,15,Honolulu,County,003,15003,001803,15003001803,2902,"502,012,938.00",0.00,0.05,0.00,0.00,0.05,"502,012,938.00","2,902.00","39,757,400,000.00",0.00,"40,259,412,938.00",2.94,0.02,0.00,Very Low,"1,368.48",0.00,680.86,0.00,"2,049.35",5.50,Very Low,0.00,0.00,0.00,15.59,"3,159.21",6.57,Very Low,December 2025
24085,T15003001804,Hawaii,HI,15,Honolulu,County,003,15003,001804,15003001804,1785,"379,517,647.00",0.00,0.06,0.00,0.00,0.06,"379,517,647.00","1,785.00","24,454,500,000.00",0.00,"24,834,017,647.00",2.61,0.02,0.00,Very Low,"1,034.56",0.00,418.79,0.00,"1,453.36",4.20,Very Low,0.00,0.00,0.00,16.66,"1,626.18",3.81,Very Low,December 2025
24086,T15003001901,Hawaii,HI,15,Honolulu,County,003,15003,001901,15003001901,316,"1,603,325,164.00",0.00,0.68,0.00,0.00,0.68,"1,603,325,164.00",316.00,"4,329,200,000.00",0.00,"5,932,525,164.00",0.22,0.00,0.00,Relatively Low,"4,370.65",0.00,74.14,0.00,"4,444.79",11.56,Very Low,0.00,0.00,0.00,21.79,"7,498.90",16.81,Very Low,December 2025
24087,T15003001905,Hawaii,HI,15,Honolulu,County,003,15003,001905,15003001905,1377,"84,778,194.00",0.00,0.02,0.00,0.00,0.02,"84,778,194.00","1,377.00","18,864,900,000.00",0.00,"18,949,678,194.00",6.24,0.04,0.00,Very Low,231.10,0.00,323.07,0.00,554.17,2.17,Very Low,0.00,0.00,0.00,8.91,941.81,2.63,Very Low,December 2025
24088,T15003001906,Hawaii,HI,15,Honolulu,County,003,15003,001906,15003001906,2877,"418,901,604.00",0.00,0.04,0.00,0.00,0.04,"418,901,604.00","2,877.00","39,414,900,000.00",0.00,"39,833,801,604.00",4.10,0.03,0.00,Very Low,"1,141.92",0.00,675.00,0.00,"1,816.92",4.97,Very Low,0.00,0.00,0.00,14.24,"2,392.80",5.10,Very Low,December 2025
24089,T15003001907,Hawaii,HI,15,Honolulu,County,003,15003,001907,15003001907,2546,"350,428,745.00",0.00,0.03,0.00,0.00,0.03,"350,428,745.00","2,546.00","34,880,200,000.00",0.00,"35,230,628,745.00",5.82,0.04,0.00,Very Low,955.27,0.00,597.34,0.00,"1,552.60",4.41,Very Low,0.00,0.00,0.00,14.39,"1,626.30",3.81,Very Low,December 2025
24090,T15003002003,Hawaii,HI,15,Honolulu,County,003,15003,002003,15003002003,2126,"755,720,411.00",0.00,0.06,0.00,0.00,0.06,"755,720,411.00","2,126.00","29,126,200,000.00",0.00,"29,881,920,411.00",2.65,0.02,0.00,Very Low,"2,060.09",0.00,498.80,0.00,"2,558.88",6.66,Very Low,0.00,0.00,0.00,18.50,"4,118.80",8.73,Very Low,December 2025
24091,T15003002004,Hawaii,HI,15,Honolulu,County,003,15003,002004,15003002004,1140,"566,529,696.00",0.00,0.06,0.00,0.00,0.06,"566,529,696.00","1,140.00","15,618,000,000.00",0.00,"16,184,529,696.00",2.45,0.02,0.00,Very Low,"1,544.35",0.00,267.47,0.00,"1,811.82",4.96,Very Low,0.00,0.00,0.00,19.33,"3,025.86",6.29,Very Low,December 2025
24092,T15003002005,Hawaii,HI,15,Honolulu,County,003,15003,002005,15003002005,1834,"334,266,428.00",0.00,0.05,0.00,0.00,0.05,"334,266,428.00","1,834.00","25,125,800,000.00",0.00,"25,460,066,428.00",3.12,0.02,0.00,Very Low,911.21,0.00,430.29,0.00,"1,341.50",3.92,Very Low,0.00,0.00,0.00,15.37,"2,126.74",4.64,Very Low,December 2025
24093,T15003002006,Hawaii,HI,15,Honolulu,County,003,15003,002006,15003002006,2267,"493,561,229.00",0.00,0.06,0.00,0.00,0.06,"493,561,229.00","2,267.00","31,057,900,000.00",0.00,"31,551,461,229.00",2.37,0.01,0.00,Very Low,"1,345.44",0.00,531.88,0.00,"1,877.32",5.10,Very Low,0.00,0.00,0.00,16.62,"2,599.91",5.44,Very Low,December 2025
24094,T15003002101,Hawaii,HI,15,Honolulu,County,003,15003,002101,15003002101,1746,"234,350,020.00",0.00,0.30,0.00,0.00,0.30,"234,350,020.00","1,746.00","23,920,200,000.00",0.00,"24,154,550,020.00",0.49,0.00,0.00,Very Low,638.84,0.00,409.64,0.00,"1,048.48",3.23,Very Low,0.00,0.00,0.00,13.86,"1,352.33",3.36,Very Low,December 2025
24095,T15003002102,Hawaii,HI,15,Honolulu,County,003,15003,002102,15003002102,1839,"337,381,117.00",0.00,0.16,0.00,0.00,0.16,"337,381,117.00","1,839.00","25,194,300,000.00",0.00,"25,531,681,117.00",0.95,0.01,0.00,Very Low,919.70,0.00,431.46,0.00,"1,351.16",3.95,Very Low,0.00,0.00,0.00,15.84,"2,144.12",4.67,Very Low,December 2025
24096,T15003002203,Hawaii,HI,15,Honolulu,County,003,15003,002203,15003002203,1836,"179,442,941.00",0.00,0.08,0.00,0.00,0.08,"179,442,941.00","1,836.00","25,153,200,000.00",0.00,"25,332,642,941.00",1.86,0.01,0.00,Very Low,489.16,0.00,430.76,0.00,919.92,2.94,Very Low,0.00,0.00,0.00,11.54,"1,281.76",3.22,Very Low,December 2025
24097,T15003002204,Hawaii,HI,15,Honolulu,County,003,15003,002204,15003002204,1308,"132,058,991.00",0.00,0.02,0.00,0.00,0.02,"132,058,991.00","1,308.00","17,919,600,000.00",0.00,"18,051,658,991.00",7.16,0.04,0.00,Very Low,359.99,0.00,306.88,0.00,666.87,2.38,Very Low,0.00,0.00,0.00,11.46,982.79,2.68,Very Low,December 2025
24098,T15003002205,Hawaii,HI,15,Honolulu,County,003,15003,002205,15003002205,1888,"348,422,413.00",0.00,0.07,0.00,0.00,0.07,"348,422,413.00","1,888.00","25,865,600,000.00",0.00,"26,214,022,413.00",2.01,0.01,0.00,Very Low,949.80,0.00,442.96,0.00,"1,392.75",4.05,Very Low,0.00,0.00,0.00,15.58,"1,876.85",4.23,Very Low,December 2025
24099,T15003002206,Hawaii,HI,15,Honolulu,County,003,15003,002206,15003002206,1961,"162,642,507.00",0.00,0.04,0.00,0.00,0.04,"162,642,507.00","1,961.00","26,865,700,000.00",0.00,"27,028,342,507.00",3.65,0.02,0.00,Very Low,443.36,0.00,460.09,0.00,903.45,2.90,Very Low,0.00,0.00,0.00,10.36,"1,551.77",3.68,Very Low,December 2025
24100,T15003002301,Hawaii,HI,15,Honolulu,County,003,15003,002301,15003002301,3250,"293,853,640.00",0.00,0.08,0.00,0.00,0.08,"293,853,640.00","3,250.00","44,525,000,000.00",0.00,"44,818,853,640.00",1.77,0.01,0.00,Very Low,801.04,0.00,762.51,0.00,"1,563.55",4.43,Very Low,0.00,0.00,0.00,10.91,"1,700.06",3.94,Very Low,December 2025
24101,T15003002302,Hawaii,HI,15,Honolulu,County,003,15003,002302,15003002302,2087,"243,898,370.00",0.00,0.06,0.00,0.00,0.06,"243,898,370.00","2,087.00","28,591,900,000.00",0.00,"28,835,798,370.00",2.54,0.02,0.00,Very Low,664.86,0.00,489.65,0.00,"1,154.51",3.47,Very Low,0.00,0.00,0.00,12.81,"1,237.27",3.15,Very Low,December 2025
24102,T15003002401,Hawaii,HI,15,Honolulu,County,003,15003,002401,15003002401,2912,"265,210,473.00",0.00,0.07,0.00,0.00,0.07,"265,210,473.00","2,912.00","39,894,400,000.00",0.00,"40,159,610,473.00",2.25,0.01,0.00,Very Low,722.96,0.00,683.21,0.00,"1,406.17",4.08,Very Low,0.00,0.00,0.00,11.27,"1,800.92",4.11,Very Low,December 2025
24103,T15003002403,Hawaii,HI,15,Honolulu,County,003,15003,002403,15003002403,1567,"180,068,729.00",0.00,0.04,0.00,0.00,0.04,"180,068,729.00","1,567.00","21,467,900,000.00",0.00,"21,647,968,729.00",3.75,0.02,0.00,Very Low,490.87,0.00,367.65,0.00,858.51,2.79,Very Low,0.00,0.00,0.00,12.36,"1,246.74",3.16,Very Low,December 2025
24104,T15003002404,Hawaii,HI,15,Honolulu,County,003,15003,002404,15003002404,1423,"187,805,692.00",0.00,0.06,0.00,0.00,0.06,"187,805,692.00","1,423.00","19,495,100,000.00",0.00,"19,682,905,692.00",2.43,0.02,0.00,Very Low,511.96,0.00,333.86,0.00,845.82,2.76,Very Low,0.00,0.00,0.00,13.98,"1,318.12",3.30,Very Low,December 2025
24105,T15003002500,Hawaii,HI,15,Honolulu,County,003,15003,002500,15003002500,3941,"598,349,571.00",0.00,0.17,0.00,0.00,0.17,"598,349,571.00","3,941.00","53,991,700,000.00",0.00,"54,590,049,571.00",0.89,0.01,0.00,Very Low,"1,631.10",0.00,924.63,0.00,"2,555.73",6.66,Very Low,0.00,0.00,0.00,14.76,"4,111.68",8.71,Very Low,December 2025
24106,T15003002600,Hawaii,HI,15,Honolulu,County,003,15003,002600,15003002600,4174,"1,928,651,249.00",0.00,0.26,0.00,0.00,0.26,"1,928,651,249.00","4,174.00","57,183,800,000.00",0.00,"59,112,451,249.00",0.57,0.00,0.00,Very Low,"5,257.48",0.00,979.30,0.00,"6,236.78",16.63,Very Low,0.00,0.00,0.00,19.04,"8,509.21",18.75,Very Low,December 2025
24107,T15003002701,Hawaii,HI,15,Honolulu,County,003,15003,002701,15003002701,4078,"1,795,731,621.00",0.00,0.58,0.00,0.00,0.58,"1,795,731,621.00","4,078.00","55,868,600,000.00",0.00,"57,664,331,621.00",0.25,0.00,0.00,Very Low,"4,895.14",0.00,956.77,0.00,"5,851.92",15.60,Very Low,0.00,0.00,0.00,18.93,"7,056.82",15.86,Very Low,December 2025
24108,T15003002702,Hawaii,HI,15,Honolulu,County,003,15003,002702,15003002702,4705,"1,033,613,532.00",0.00,0.40,0.00,0.00,0.40,"1,033,613,532.00","4,705.00","64,458,500,000.00",0.00,"65,492,113,532.00",0.37,0.00,0.00,Very Low,"2,817.62",0.00,"1,103.88",0.00,"3,921.50",10.06,Very Low,0.00,0.00,0.00,16.69,"4,603.47",9.89,Very Low,December 2025
24109,T15003002801,Hawaii,HI,15,Honolulu,County,003,15003,002801,15003002801,1778,"410,886,116.00",0.00,0.26,0.00,0.00,0.26,"410,886,116.00","1,778.00","24,358,600,000.00",0.00,"24,769,486,116.00",0.57,0.00,0.00,Very Low,"1,120.07",0.00,417.15,0.00,"1,537.22",4.38,Very Low,0.00,0.00,0.00,17.01,"2,347.74",5.01,Very Low,December 2025
24110,T15003002802,Hawaii,HI,15,Honolulu,County,003,15003,002802,15003002802,2353,"336,826,557.00",0.00,0.64,0.00,0.00,0.56,"336,826,557.00","2,353.00","32,236,100,000.00",0.00,"32,572,926,557.00",0.23,0.00,0.00,Very Low,918.19,0.00,552.06,0.00,"1,470.24",4.23,Very Low,0.00,0.00,0.00,14.47,"1,655.31",3.86,Very Low,December 2025
24111,T15003002900,Hawaii,HI,15,Honolulu,County,003,15003,002900,15003002900,2251,"332,975,387.00",0.00,0.46,0.00,0.00,0.46,"332,975,387.00","2,251.00","30,838,700,000.00",0.00,"31,171,675,387.00",0.32,0.00,0.00,Very Low,907.69,0.00,528.13,0.00,"1,435.81",4.15,Very Low,0.00,0.00,0.00,14.49,"1,128.99",2.93,Very Low,December 2025
24112,T15003003000,Hawaii,HI,15,Honolulu,County,003,15003,003000,15003003000,4305,"911,851,857.00",0.00,0.59,0.00,0.00,0.59,"911,851,857.00","4,305.00","58,978,500,000.00",0.00,"59,890,351,857.00",0.25,0.00,0.00,Very Low,"2,485.70",0.00,"1,010.03",0.00,"3,495.73",8.95,Very Low,0.00,0.00,0.00,16.33,"3,748.08",7.84,Very Low,December 2025
24113,T15003003102,Hawaii,HI,15,Honolulu,County,003,15003,003102,15003003102,3345,"626,336,494.00",0.00,1.52,0.00,0.00,1.22,"626,336,494.00","3,345.00","45,826,500,000.00",0.00,"46,452,836,494.00",0.10,0.00,0.00,Very Low,"1,707.39",0.00,784.80,0.00,"2,492.19",6.50,Very Low,0.00,0.00,0.00,16.06,"2,642.59",5.52,Very Low,December 2025
24114,T15003003103,Hawaii,HI,15,Honolulu,County,003,15003,003103,15003003103,1567,"254,393,001.00",0.00,1.76,0.00,0.00,1.39,"254,393,001.00","1,567.00","21,467,900,000.00",0.00,"21,722,293,001.00",0.08,0.00,0.00,Very Low,693.47,0.00,367.65,0.00,"1,061.12",3.26,Very Low,0.00,0.00,0.00,14.83,"1,130.08",2.94,Very Low,December 2025
24115,T15003003104,Hawaii,HI,15,Honolulu,County,003,15003,003104,15003003104,2175,"416,250,673.00",0.00,0.34,0.00,0.00,0.34,"416,250,673.00","2,175.00","29,797,500,000.00",0.00,"30,213,750,673.00",0.44,0.00,0.00,Very Low,"1,134.69",0.00,510.30,0.00,"1,644.99",4.60,Very Low,0.00,0.00,0.00,15.64,"1,569.48",3.71,Very Low,December 2025
24116,T15003003404,Hawaii,HI,15,Honolulu,County,003,15003,003404,15003003404,4517,"611,754,376.00",0.00,0.10,0.00,0.00,0.10,"611,754,376.00","4,517.00","61,882,900,000.00",0.00,"62,494,654,376.00",1.45,0.01,0.00,Very Low,"1,667.64",0.00,"1,059.77",0.00,"2,727.41",7.05,Very Low,0.00,0.00,0.00,13.91,"4,205.44",8.95,Very Low,December 2025
24117,T15003003408,Hawaii,HI,15,Honolulu,County,003,15003,003408,15003003408,2256,"252,146,055.00",0.00,0.04,0.00,0.00,0.04,"252,146,055.00","2,256.00","30,907,200,000.00",0.00,"31,159,346,055.00",4.18,0.03,0.00,Very Low,687.35,0.00,529.30,0.00,"1,216.65",3.62,Very Low,0.00,0.00,0.00,12.33,"1,433.79",3.50,Very Low,December 2025
24118,T15003003409,Hawaii,HI,15,Honolulu,County,003,15003,003409,15003003409,1901,"241,294,964.00",0.00,0.03,0.00,0.00,0.03,"241,294,964.00","1,901.00","26,043,700,000.00",0.00,"26,284,994,964.00",4.75,0.03,0.00,Very Low,657.77,0.00,446.01,0.00,"1,103.78",3.35,Very Low,0.00,0.00,0.00,13.78,"1,282.55",3.23,Very Low,December 2025
24119,T15003003410,Hawaii,HI,15,Honolulu,County,003,15003,003410,15003003410,1482,"153,741,416.00",0.00,0.03,0.00,0.00,0.03,"153,741,416.00","1,482.00","20,303,400,000.00",0.00,"20,457,141,416.00",5.48,0.03,0.00,Very Low,419.10,0.00,347.71,0.00,766.80,2.57,Very Low,0.00,0.00,0.00,12.13,818.71,2.42,Very Low,December 2025
24120,T15003003411,Hawaii,HI,15,Honolulu,County,003,15003,003411,15003003411,1231,"139,895,379.00",0.00,0.02,0.00,0.00,0.02,"139,895,379.00","1,231.00","16,864,700,000.00",0.00,"17,004,595,379.00",6.41,0.04,0.00,Very Low,381.35,0.00,288.81,0.00,670.17,2.39,Very Low,0.00,0.00,0.00,12.25,648.92,2.14,Very Low,December 2025
24121,T15003003412,Hawaii,HI,15,Honolulu,County,003,15003,003412,15003003412,1618,"239,808,140.00",0.00,0.06,0.00,0.00,0.06,"239,808,140.00","1,618.00","22,166,600,000.00",0.00,"22,406,408,140.00",2.70,0.02,0.00,Very Low,653.71,0.00,379.61,0.00,"1,033.33",3.20,Very Low,0.00,0.00,0.00,14.35,"1,122.80",2.92,Very Low,December 2025
24122,T15003003413,Hawaii,HI,15,Honolulu,County,003,15003,003413,15003003413,2532,"295,198,402.00",0.00,0.06,0.00,0.00,0.06,"295,198,402.00","2,532.00","34,688,400,000.00",0.00,"34,983,598,402.00",2.60,0.02,0.00,Very Low,804.71,0.00,594.05,0.00,"1,398.76",4.07,Very Low,0.00,0.00,0.00,13.03,"1,501.76",3.61,Very Low,December 2025
