OBJECTID,National Risk Index ID,State Name,State Name Abbreviation,State FIPS Code,County Name,County Type,County FIPS Code,State-County FIPS Code,Census Tract,Census Tract FIPS Code,Population (2020),Building Value ($),Agriculture Value ($),Area (sq mi),Tsunami - Number of Events,Tsunami - Annualized Frequency,Tsunami - Exposure - Impacted Area (sq mi),Tsunami - Exposure - Building Value,Tsunami - Exposure - Population,Tsunami - Exposure - Population Equivalence,Tsunami - Exposure - Total,Tsunami - Historic Loss Ratio - Buildings,Tsunami - Historic Loss Ratio - Population,Tsunami - Historic Loss Ratio - Total Rating,Tsunami - Expected Annual Loss - Building Value,Tsunami - Expected Annual Loss - Population,Tsunami - Expected Annual Loss - Population Equivalence,Tsunami - Expected Annual Loss - Total,Tsunami - Expected Annual Loss Score,Tsunami - Expected Annual Loss Rating,Tsunami - Expected Annual Loss Rate - Building,Tsunami - Expected Annual Loss Rate - Population,Tsunami - Expected Annual Loss Rate - National Percentile,Tsunami - Hazard Type Risk Index Value,Tsunami - Hazard Type Risk Index Score,Tsunami - Hazard Type Risk Index Rating,National Risk Index Version
24013,T15001020900,Hawaii,HI,15,Hawaii,County,001,15001,020900,15001020900,4802,"640,400,631.00","702,684.00",11.20,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,December 2025
24014,T15001021003,Hawaii,HI,15,Hawaii,County,001,15001,021003,15001021003,7423,"635,749,363.00","696,038.00",13.21,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,December 2025
24015,T15001021011,Hawaii,HI,15,Hawaii,County,001,15001,021011,15001021011,4388,"672,076,421.00","2,483,796.00",96.08,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,December 2025
24016,T15001021013,Hawaii,HI,15,Hawaii,County,001,15001,021013,15001021013,4811,"1,380,195,816.00","34,616,680.00",54.38,147.00,0.66,52.28,"4,767,960.54",27.20,"372,640,000.00","377,407,960.54",0.00,0.00,Relatively Low,"4,822.50",0.00,0.00,"4,822.50",43.27,Very Low,0.00,0.00,54.95,"6,711.05",43.49,Very Low,December 2025
24017,T15001021014,Hawaii,HI,15,Hawaii,County,001,15001,021014,15001021014,8402,"866,576,171.00","104,965.00",8.05,147.00,0.66,8.05,"50,816,566.32",0.00,0.00,"50,816,566.32",0.00,0.00,Relatively Low,281.56,0.00,0.00,281.56,27.22,Very Low,0.00,0.00,41.75,334.32,24.58,Very Low,December 2025
24018,T15001021015,Hawaii,HI,15,Hawaii,County,001,15001,021015,15001021015,6080,"681,492,125.00","110,929.00",8.11,147.00,0.66,7.03,"35,045,499.97",14.38,"197,033,707.87","232,079,207.84",0.00,0.00,Relatively Low,"1,140.57",0.00,0.00,"1,140.57",34.07,Very Low,0.00,0.00,50.13,"1,487.36",31.62,Very Low,December 2025
24019,T15001021016,Hawaii,HI,15,Hawaii,County,001,15001,021016,15001021016,5525,"451,640,221.00","916,719.00",27.09,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,December 2025
24020,T15001021017,Hawaii,HI,15,Hawaii,County,001,15001,021017,15001021017,4572,"417,551,918.00","899,243.00",31.88,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,December 2025
24021,T15001021101,Hawaii,HI,15,Hawaii,County,001,15001,021101,15001021101,2793,"591,940,025.00","12,858,548.00",45.82,147.00,0.66,41.47,"267,322,266.49",21.16,"289,900,303.03","557,222,569.52",0.00,0.00,Relatively High,"125,405.91",0.00,0.00,"125,405.91",73.48,Relatively Low,0.00,0.00,85.53,"214,478.19",78.79,Relatively Low,December 2025
24022,T15001021107,Hawaii,HI,15,Hawaii,County,001,15001,021107,15001021107,1365,"293,448,012.00","2,593,586.00",186.19,147.00,0.66,185.27,"8,223,454.07",0.00,0.00,"8,223,454.07",0.00,0.00,Very Low,0.12,0.00,0.00,0.12,15.99,Very Low,0.00,0.00,30.46,0.20,14.01,Very Low,December 2025
24023,T15001021108,Hawaii,HI,15,Hawaii,County,001,15001,021108,15001021108,6319,"786,920,666.00","7,720,087.00",49.29,147.00,0.66,43.87,"17,470,821.57",6.00,"82,200,000.00","99,670,821.57",0.00,0.00,Relatively Low,334.91,0.00,0.00,334.91,27.79,Very Low,0.00,0.00,43.02,587.27,26.26,Very Low,December 2025
24024,T15001021203,Hawaii,HI,15,Hawaii,County,001,15001,021203,15001021203,6079,"750,961,781.00","38,673,971.00",803.05,147.00,0.66,790.59,"23,985,094.30",5.71,"78,285,714.29","102,270,808.59",0.00,0.00,Relatively Moderate,"7,876.90",0.00,0.00,"7,876.90",47.02,Very Low,0.00,0.00,62.44,"9,175.88",45.41,Very Low,December 2025
24025,T15001021204,Hawaii,HI,15,Hawaii,County,001,15001,021204,15001021204,2855,"431,675,256.00","7,794,577.00",169.93,147.00,0.66,148.55,"5,730,162.45",15.00,"205,500,000.00","211,230,162.45",0.00,0.00,Very Low,95.70,0.00,0.00,95.70,23.48,Very Low,0.00,0.00,40.10,129.99,20.75,Very Low,December 2025
24026,T15001021300,Hawaii,HI,15,Hawaii,County,001,15001,021300,15001021300,5913,"975,908,646.00","40,875,946.00",338.78,147.00,0.66,316.55,"441,181,640.66",28.00,"383,623,940.59","824,805,581.24",0.00,0.00,Relatively Low,"15,895.09",0.00,0.00,"15,895.09",52.47,Relatively Low,0.00,0.00,65.74,"16,333.37",50.15,Relatively Low,December 2025
24027,T15001021402,Hawaii,HI,15,Hawaii,County,001,15001,021402,15001021402,3876,"906,219,252.00","5,340,816.00",18.82,147.00,0.66,16.36,"15,663,240.14",0.00,0.00,"15,663,240.14",0.00,0.00,Relatively Moderate,620.49,0.00,0.00,620.49,30.71,Very Low,0.00,0.00,45.30,736.22,27.11,Very Low,December 2025
24028,T15001021502,Hawaii,HI,15,Hawaii,County,001,15001,021502,15001021502,5432,"950,596,034.00","16,940,046.00",365.81,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,December 2025
24029,T15001021504,Hawaii,HI,15,Hawaii,County,001,15001,021504,15001021504,5932,"1,489,513,611.00","16,685.00",14.92,147.00,0.66,12.04,"843,278,511.51",12.89,"176,577,777.78","1,019,856,289.29",0.00,0.00,Relatively Moderate,"52,287.73",0.00,0.00,"52,287.73",64.34,Relatively Low,0.00,0.00,71.70,"84,682.12",68.15,Relatively Low,December 2025
24030,T15001021510,Hawaii,HI,15,Hawaii,County,001,15001,021510,15001021510,3550,"1,253,964,520.00","1,263,701.00",12.89,147.00,0.66,8.86,"1,171,451,856.38",168.39,"2,306,973,274.15","3,478,425,130.53",0.00,0.00,Relatively Moderate,"270,769.80",0.00,0.00,"270,769.80",80.39,Relatively Moderate,0.00,0.00,85.79,"467,542.33",86.60,Relatively Moderate,December 2025
24031,T15001021511,Hawaii,HI,15,Hawaii,County,001,15001,021511,15001021511,1568,"261,669,134.00","806,989.00",1.37,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,December 2025
24032,T15001021512,Hawaii,HI,15,Hawaii,County,001,15001,021512,15001021512,4531,"686,393,852.00","489,784.00",6.75,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,December 2025
24033,T15001021513,Hawaii,HI,15,Hawaii,County,001,15001,021513,15001021513,6109,"1,680,242,360.00","474,845.00",107.38,147.00,0.66,88.73,"1,209,819,171.16",42.67,"584,544,271.46","1,794,363,442.61",0.00,0.00,Relatively High,"486,352.14",0.00,0.00,"486,352.14",85.41,Relatively Moderate,0.00,0.00,87.82,"473,597.41",86.68,Relatively Moderate,December 2025
24034,T15001021605,Hawaii,HI,15,Hawaii,County,001,15001,021605,15001021605,3787,"1,324,028,715.00","542,345.00",5.94,147.00,0.66,4.31,"1,165,660,882.71",198.39,"2,717,941,966.33","3,883,602,849.03",0.00,0.00,Relatively High,"506,537.66",0.00,0.00,"506,537.66",85.91,Relatively Moderate,0.00,0.00,89.97,"456,795.81",86.37,Relatively Moderate,December 2025
24035,T15001021606,Hawaii,HI,15,Hawaii,County,001,15001,021606,15001021606,4120,"751,565,820.00","686,809.00",2.58,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,December 2025
24036,T15001021607,Hawaii,HI,15,Hawaii,County,001,15001,021607,15001021607,4452,"837,355,859.00","158,411.00",1.94,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,December 2025
24037,T15001021608,Hawaii,HI,15,Hawaii,County,001,15001,021608,15001021608,3832,"883,520,606.00",0.00,2.28,147.00,0.66,1.12,"1,021,392,384.72",270.42,"3,704,764,315.01","4,726,156,699.73",0.00,0.00,Relatively Moderate,"267,607.84",0.00,0.00,"267,607.84",80.20,Relatively Moderate,0.00,0.00,88.20,"258,234.29",80.02,Relatively Moderate,December 2025
24038,T15001021705,Hawaii,HI,15,Hawaii,County,001,15001,021705,15001021705,6366,"1,270,230,035.00","4,790,189.00",42.04,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,December 2025
24039,T15001021706,Hawaii,HI,15,Hawaii,County,001,15001,021706,15001021706,3795,"884,836,317.00","18,715,023.00",162.24,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,December 2025
24040,T15001021707,Hawaii,HI,15,Hawaii,County,001,15001,021707,15001021707,4997,"866,377,170.00","12,871,697.00",63.10,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,December 2025
24041,T15001021708,Hawaii,HI,15,Hawaii,County,001,15001,021708,15001021708,4152,"2,527,025,217.00","3,646,817.00",94.38,147.00,0.66,79.66,"2,545,871,038.55",366.33,"5,018,686,260.70","7,564,557,299.25",0.00,0.00,Relatively High,"1,285,529.30",0.00,0.00,"1,285,529.30",91.43,Relatively Moderate,0.00,0.00,92.39,"1,560,305.66",93.87,Relatively Moderate,December 2025
24042,T15001021800,Hawaii,HI,15,Hawaii,County,001,15001,021800,15001021800,6927,"1,318,845,881.00","24,839,420.00",157.17,147.00,0.66,142.52,"202,393,847.84",15.98,"218,963,793.10","421,357,640.94",0.00,0.00,Relatively Moderate,"20,708.30",0.00,0.00,"20,708.30",55.33,Relatively Low,0.00,0.00,65.36,"22,450.26",53.83,Relatively Low,December 2025
24043,T15001021902,Hawaii,HI,15,Hawaii,County,001,15001,021902,15001021902,4199,"736,627,875.00","13,353,438.00",129.29,147.00,0.66,116.53,"20,792,520.75",34.50,"472,650,000.00","493,442,520.75",0.00,0.00,Relatively Moderate,"26,053.62",0.00,0.00,"26,053.62",57.23,Relatively Low,0.00,0.00,71.83,"34,788.53",58.73,Relatively Low,December 2025
24044,T15001022000,Hawaii,HI,15,Hawaii,County,001,15001,022000,15001022000,2678,"375,920,365.00","31,687,785.00",477.39,147.00,0.66,469.23,0.00,0.00,0.00,0.00,0.00,0.00,No Rating,0.00,0.00,0.00,0.00,0.00,No Expected Annual Losses,0.00,0.00,0.00,0.00,0.00,No Rating,December 2025
24045,T15001022102,Hawaii,HI,15,Hawaii,County,001,15001,022102,15001022102,2100,"374,194,684.00","16,997,086.00",330.62,147.00,0.66,323.84,"10,314,151.41",10.67,"146,133,333.33","156,447,484.75",0.00,0.00,Relatively Low,543.39,0.00,0.00,543.39,29.89,Very Low,0.00,0.00,49.24,704.11,26.57,Very Low,December 2025
24046,T15003000107,Hawaii,HI,15,Honolulu,County,003,15003,000107,15003000107,2740,"420,741,753.00","40,385.00",1.18,147.00,0.66,1.18,"515,228,080.03",914.54,"12,529,252,209.29","13,044,480,289.32",0.00,0.00,Relatively Low,"76,702.51",0.00,0.00,"76,702.51",68.59,Relatively Low,0.00,0.00,84.71,"60,311.50",65.08,Relatively Low,December 2025
24047,T15003000108,Hawaii,HI,15,Honolulu,County,003,15003,000108,15003000108,3213,"708,351,504.00",0.00,0.54,147.00,0.66,0.54,"1,218,136,239.85","3,202.81","43,878,453,409.09","45,096,589,648.94",0.00,0.00,Relatively Low,"747,359.45",0.00,0.00,"747,359.45",88.77,Relatively Moderate,0.00,0.00,95.62,"757,169.20",90.20,Relatively Moderate,December 2025
24048,T15003000110,Hawaii,HI,15,Honolulu,County,003,15003,000110,15003000110,4254,"738,534,784.00",0.00,3.00,147.00,0.66,2.62,"397,422,785.36",499.67,"6,845,460,355.03","7,242,883,140.39",0.00,0.00,Relatively Low,"75,174.38",0.00,0.00,"75,174.38",68.40,Relatively Low,0.00,0.00,80.77,"89,616.96",68.84,Relatively Low,December 2025
24049,T15003000114,Hawaii,HI,15,Honolulu,County,003,15003,000114,15003000114,1722,"581,702,437.00",0.00,0.75,147.00,0.66,0.48,"475,428,783.95",584.36,"8,005,735,651.56","8,481,164,435.51",0.00,0.00,Relatively Moderate,"338,532.69",0.00,0.00,"338,532.69",82.55,Relatively Moderate,0.00,0.00,92.96,"307,729.77",82.16,Relatively Moderate,December 2025
