OBJECTID,National Risk Index ID,State Name,State Name Abbreviation,State FIPS Code,County Name,County Type,County FIPS Code,State-County FIPS Code,Census Tract,Census Tract FIPS Code,Population (2020),Building Value ($),Agriculture Value ($),Area (sq mi),Lightning - Number of Events,Lightning - Annualized Frequency,Lightning - Exposure - Impacted Area (sq mi),Lightning - Exposure - Building Value,Lightning - Exposure - Population,Lightning - Exposure - Population Equivalence,Lightning - Exposure - Total,Lightning - Historic Loss Ratio - Buildings,Lightning - Historic Loss Ratio - Population,Lightning - Historic Loss Ratio - Total Rating,Lightning - Expected Annual Loss - Building Value,Lightning - Expected Annual Loss - Population,Lightning - Expected Annual Loss - Population Equivalence,Lightning - Expected Annual Loss - Total,Lightning - Expected Annual Loss Score,Lightning - Expected Annual Loss Rating,Lightning - Expected Annual Loss Rate - Building,Lightning - Expected Annual Loss Rate - Population,Lightning - Expected Annual Loss Rate - National Percentile,Lightning - Hazard Type Risk Index Value,Lightning - Hazard Type Risk Index Score,Lightning - Hazard Type Risk Index Rating,National Risk Index Version
24013,T15001020900,Hawaii,HI,15,Hawaii,County,001,15001,020900,15001020900,4802,"640,400,631.00","702,684.00",11.20,"8,104.00",86.92,11.20,"640,400,631.00","4,802.00","65,787,400,000.00","66,427,800,631.00",0.00,0.00,Relatively High,"2,065.49",0.00,"65,930.04","67,995.53",96.26,Very High,0.00,0.00,54.61,"74,887.85",95.64,Relatively High,December 2025
24014,T15001021003,Hawaii,HI,15,Hawaii,County,001,15001,021003,15001021003,7423,"635,749,363.00","696,038.00",13.21,"19,720.00",69.96,13.21,"635,749,363.00","7,423.00","101,695,100,000.00","102,330,849,363.00",0.00,0.00,Relatively High,"1,601.86",0.01,"79,561.88","81,163.74",97.54,Very High,0.00,0.00,40.15,"102,430.35",97.87,Very High,December 2025
24015,T15001021011,Hawaii,HI,15,Hawaii,County,001,15001,021011,15001021011,4388,"672,076,421.00","2,483,796.00",96.08,"19,639.00",81.54,96.08,"672,076,421.00","4,388.00","60,115,600,000.00","60,787,676,421.00",0.00,0.00,Relatively High,"1,919.83",0.00,"51,437.02","53,356.85",93.70,Relatively High,0.00,0.00,58.61,"61,845.90",93.45,Relatively High,December 2025
24016,T15001021013,Hawaii,HI,15,Hawaii,County,001,15001,021013,15001021013,4811,"1,380,195,816.00","34,616,680.00",54.38,"22,533.00",78.39,52.28,"1,380,195,816.00","4,811.00","65,910,700,000.00","67,290,895,816.00",0.00,0.00,Relatively High,"3,818.47",0.00,"54,755.61","58,574.08",94.79,Relatively High,0.00,0.00,73.22,"81,512.41",96.38,Very High,December 2025
24017,T15001021014,Hawaii,HI,15,Hawaii,County,001,15001,021014,15001021014,8402,"866,576,171.00","104,965.00",8.05,"10,857.00",80.01,8.05,"866,576,171.00","8,402.00","115,107,400,000.00","115,973,976,171.00",0.00,0.00,Relatively High,"2,523.76",0.01,"103,906.63","106,430.39",98.77,Very High,0.00,0.00,46.74,"126,377.23",98.71,Very High,December 2025
24018,T15001021015,Hawaii,HI,15,Hawaii,County,001,15001,021015,15001021015,6080,"681,492,125.00","110,929.00",8.11,"9,418.00",80.10,7.03,"681,492,125.00","6,080.00","83,296,000,000.00","83,977,492,125.00",0.00,0.00,Relatively High,"1,970.58",0.01,"74,688.36","76,658.94",97.19,Very High,0.00,0.00,49.05,"99,966.50",97.79,Very High,December 2025
24019,T15001021016,Hawaii,HI,15,Hawaii,County,001,15001,021016,15001021016,5525,"451,640,221.00","916,719.00",27.09,"19,856.00",74.86,27.09,"451,640,221.00","5,525.00","75,692,500,000.00","76,144,140,221.00",0.00,0.00,Relatively High,"1,226.41",0.00,"64,072.40","65,298.81",95.89,Very High,0.00,0.00,39.67,"110,217.32",98.23,Very High,December 2025
24020,T15001021017,Hawaii,HI,15,Hawaii,County,001,15001,021017,15001021017,4572,"417,551,918.00","899,243.00",31.88,"23,023.00",70.37,31.88,"417,551,918.00","4,572.00","62,636,400,000.00","63,053,951,918.00",0.00,0.00,Relatively High,"1,073.93",0.00,"50,082.27","51,156.20",93.14,Relatively High,0.00,0.00,42.03,"74,126.70",95.52,Relatively High,December 2025
24021,T15001021101,Hawaii,HI,15,Hawaii,County,001,15001,021101,15001021101,2793,"591,940,025.00","12,858,548.00",45.82,"21,258.00",66.75,41.47,"591,940,025.00","2,793.00","38,264,100,000.00","38,856,040,025.00",0.00,0.00,Relatively High,"1,458.31",0.00,"27,819.36","29,277.67",80.46,Relatively High,0.00,0.00,65.72,"50,072.77",90.05,Relatively High,December 2025
24022,T15001021107,Hawaii,HI,15,Hawaii,County,001,15001,021107,15001021107,1365,"293,448,012.00","2,593,586.00",186.19,"14,506.00",66.07,185.27,"293,448,012.00","1,365.00","18,700,500,000.00","18,993,948,012.00",0.00,0.00,Relatively High,788.60,0.00,"14,683.89","15,472.49",58.88,Relatively Moderate,0.00,0.00,67.16,"25,868.11",72.79,Relatively Moderate,December 2025
24023,T15001021108,Hawaii,HI,15,Hawaii,County,001,15001,021108,15001021108,6319,"786,920,666.00","7,720,087.00",49.29,"39,942.00",74.62,43.87,"786,920,666.00","6,319.00","86,570,300,000.00","87,357,220,666.00",0.00,0.00,Relatively High,"2,197.63",0.01,"75,336.67","77,534.30",97.26,Very High,0.00,0.00,51.67,"135,957.78",98.90,Very High,December 2025
24024,T15001021203,Hawaii,HI,15,Hawaii,County,001,15001,021203,15001021203,6079,"750,961,781.00","38,673,971.00",803.05,"103,483.00",65.27,790.59,"750,961,781.00","6,079.00","83,282,300,000.00","84,033,261,781.00",0.00,0.00,Relatively High,"1,630.55",0.00,"55,600.58","57,231.13",94.53,Relatively High,0.00,0.00,48.95,"66,669.09",94.41,Relatively High,December 2025
24025,T15001021204,Hawaii,HI,15,Hawaii,County,001,15001,021204,15001021204,2855,"431,675,256.00","7,794,577.00",169.93,"31,231.00",45.42,148.55,"431,675,256.00","2,855.00","39,113,500,000.00","39,545,175,256.00",0.00,0.00,Relatively High,840.03,0.00,"23,876.32","24,716.35",75.10,Relatively Moderate,0.00,0.00,52.86,"33,572.41",80.65,Relatively High,December 2025
24026,T15001021300,Hawaii,HI,15,Hawaii,County,001,15001,021300,15001021300,5913,"975,908,646.00","40,875,946.00",338.78,"44,150.00",70.30,316.55,"975,908,646.00","5,913.00","81,008,100,000.00","81,984,008,646.00",0.00,0.00,Relatively High,"2,760.85",0.01,"71,909.34","74,670.19",97.00,Very High,0.00,0.00,59.22,"76,729.09",95.85,Very High,December 2025
24027,T15001021402,Hawaii,HI,15,Hawaii,County,001,15001,021402,15001021402,3876,"906,219,252.00","5,340,816.00",18.82,"9,163.00",83.23,16.36,"906,219,252.00","3,876.00","53,101,200,000.00","54,007,419,252.00",0.00,0.00,Relatively High,"2,799.97",0.00,"50,992.62","53,792.58",93.80,Relatively High,0.00,0.00,68.64,"63,824.84",93.85,Relatively High,December 2025
24028,T15001021502,Hawaii,HI,15,Hawaii,County,001,15001,021502,15001021502,5432,"950,596,034.00","16,940,046.00",365.81,"33,868.00",80.99,365.81,"950,596,034.00","5,432.00","74,418,400,000.00","75,368,996,034.00",0.00,0.00,Relatively High,"2,722.57",0.00,"65,757.86","68,480.43",96.33,Very High,0.00,0.00,61.34,"67,431.04",94.54,Relatively High,December 2025
24029,T15001021504,Hawaii,HI,15,Hawaii,County,001,15001,021504,15001021504,5932,"1,489,513,611.00","16,685.00",14.92,"11,842.00",73.27,12.04,"1,489,513,611.00","5,932.00","81,268,400,000.00","82,757,913,611.00",0.00,0.00,Relatively High,"4,165.93",0.01,"72,665.88","76,831.81",97.20,Very High,0.00,0.00,69.03,"124,432.25",98.66,Very High,December 2025
24030,T15001021510,Hawaii,HI,15,Hawaii,County,001,15001,021510,15001021510,3550,"1,253,964,520.00","1,263,701.00",12.89,"9,478.00",84.20,8.86,"1,253,964,520.00","3,550.00","48,635,000,000.00","49,888,964,520.00",0.00,0.00,Relatively High,"3,752.33",0.00,"45,277.91","49,030.24",92.55,Relatively High,0.00,0.00,77.44,"84,661.26",96.69,Very High,December 2025
24031,T15001021511,Hawaii,HI,15,Hawaii,County,001,15001,021511,15001021511,1568,"261,669,134.00","806,989.00",1.37,"2,293.00",85.14,1.37,"261,669,134.00","1,568.00","21,481,600,000.00","21,743,269,134.00",0.00,0.00,Relatively High,812.36,0.00,"20,687.93","21,500.28",70.39,Relatively Moderate,0.00,0.00,60.45,"21,721.42",67.24,Relatively Moderate,December 2025
24032,T15001021512,Hawaii,HI,15,Hawaii,County,001,15001,021512,15001021512,4531,"686,393,852.00","489,784.00",6.75,"5,927.00",65.52,6.75,"686,393,852.00","4,531.00","62,074,700,000.00","62,761,093,852.00",0.00,0.00,Relatively High,"1,627.98",0.00,"45,449.22","47,077.20",91.89,Relatively High,0.00,0.00,55.68,"54,115.11",91.43,Relatively High,December 2025
24033,T15001021513,Hawaii,HI,15,Hawaii,County,001,15001,021513,15001021513,6109,"1,680,242,360.00","474,845.00",107.38,"17,845.00",66.44,88.73,"1,680,242,360.00","6,109.00","83,693,300,000.00","85,373,542,360.00",0.00,0.00,Relatively High,"3,763.57",0.00,"61,860.41","65,623.98",95.93,Very High,0.00,0.00,68.36,"63,902.97",93.86,Relatively High,December 2025
24034,T15001021605,Hawaii,HI,15,Hawaii,County,001,15001,021605,15001021605,3787,"1,324,028,715.00","542,345.00",5.94,"6,798.00",81.82,4.31,"1,324,028,715.00","3,787.00","51,881,900,000.00","53,205,928,715.00",0.00,0.00,Relatively High,"3,752.08",0.00,"46,116.82","49,868.90",92.79,Relatively High,0.00,0.00,76.74,"44,971.79",87.82,Relatively High,December 2025
24035,T15001021606,Hawaii,HI,15,Hawaii,County,001,15001,021606,15001021606,4120,"751,565,820.00","686,809.00",2.58,"3,275.00",77.74,2.58,"751,565,820.00","4,120.00","56,444,000,000.00","57,195,565,820.00",0.00,0.00,Relatively High,"2,040.87",0.00,"47,241.22","49,282.09",92.63,Relatively High,0.00,0.00,61.92,"51,383.35",90.49,Relatively High,December 2025
24036,T15001021607,Hawaii,HI,15,Hawaii,County,001,15001,021607,15001021607,4452,"837,355,859.00","158,411.00",1.94,"7,558.00",80.82,1.94,"837,355,859.00","4,452.00","60,992,400,000.00","61,829,755,859.00",0.00,0.00,Relatively High,"2,461.40",0.00,"55,255.82","57,717.22",94.61,Relatively High,0.00,0.00,63.29,"67,141.48",94.49,Relatively High,December 2025
24037,T15001021608,Hawaii,HI,15,Hawaii,County,001,15001,021608,15001021608,3832,"883,520,606.00",0.00,2.28,"4,179.00",75.99,1.12,"883,520,606.00","3,832.00","52,498,400,000.00","53,381,920,606.00",0.00,0.00,Relatively High,"2,451.72",0.00,"45,234.02","47,685.74",92.10,Relatively High,0.00,0.00,67.64,"46,015.44",88.31,Relatively High,December 2025
24038,T15001021705,Hawaii,HI,15,Hawaii,County,001,15001,021705,15001021705,6366,"1,270,230,035.00","4,790,189.00",42.04,"12,256.00",63.61,42.04,"1,270,230,035.00","6,366.00","87,214,200,000.00","88,484,430,035.00",0.00,0.00,Relatively High,"3,026.70",0.00,"62,963.20","65,989.90",95.99,Very High,0.00,0.00,63.34,"68,554.77",94.72,Relatively High,December 2025
24039,T15001021706,Hawaii,HI,15,Hawaii,County,001,15001,021706,15001021706,3795,"884,836,317.00","18,715,023.00",162.24,"30,957.00",74.19,162.24,"884,836,317.00","3,795.00","51,991,500,000.00","52,876,336,317.00",0.00,0.00,Relatively High,"1,991.75",0.00,"34,359.24","36,350.98",86.43,Relatively High,0.00,0.00,67.20,"42,626.91",86.65,Relatively High,December 2025
24040,T15001021707,Hawaii,HI,15,Hawaii,County,001,15001,021707,15001021707,4997,"866,377,170.00","12,871,697.00",63.10,"11,523.00",64.71,63.10,"866,377,170.00","4,997.00","68,458,900,000.00","69,325,277,170.00",0.00,0.00,Relatively High,"2,003.02",0.00,"49,537.47","51,540.49",93.23,Relatively High,0.00,0.00,58.63,"51,926.90",90.68,Relatively High,December 2025
24041,T15001021708,Hawaii,HI,15,Hawaii,County,001,15001,021708,15001021708,4152,"2,527,025,217.00","3,646,817.00",94.38,"19,516.00",63.60,79.66,"2,527,025,217.00","4,152.00","56,882,400,000.00","59,409,425,217.00",0.00,0.00,Relatively High,"5,405.23",0.00,"37,460.64","42,865.87",90.12,Relatively High,0.00,0.00,85.14,"52,028.26",90.72,Relatively High,December 2025
24042,T15001021800,Hawaii,HI,15,Hawaii,County,001,15001,021800,15001021800,6927,"1,318,845,881.00","24,839,420.00",157.17,"29,292.00",49.34,142.52,"1,318,845,881.00","6,927.00","94,899,900,000.00","96,218,745,881.00",0.00,0.00,Relatively High,"2,381.97",0.00,"52,515.47","54,897.44",94.05,Relatively High,0.00,0.00,58.56,"59,515.36",92.91,Relatively High,December 2025
24043,T15001021902,Hawaii,HI,15,Hawaii,County,001,15001,021902,15001021902,4199,"736,627,875.00","13,353,438.00",129.29,"25,305.00",55.11,116.53,"736,627,875.00","4,199.00","57,526,300,000.00","58,262,927,875.00",0.00,0.00,Relatively High,"1,226.62",0.00,"30,822.61","32,049.23",83.09,Relatively High,0.00,0.00,53.60,"42,794.26",86.74,Relatively High,December 2025
24044,T15001022000,Hawaii,HI,15,Hawaii,County,001,15001,022000,15001022000,2678,"375,920,365.00","31,687,785.00",477.39,"65,288.00",69.17,469.23,"375,920,365.00","2,678.00","36,688,600,000.00","37,064,520,365.00",0.00,0.00,Relatively High,822.03,0.00,"25,266.46","26,088.49",76.81,Relatively High,0.00,0.00,51.96,"29,171.92",76.50,Relatively Moderate,December 2025
24045,T15001022102,Hawaii,HI,15,Hawaii,County,001,15001,022102,15001022102,2100,"374,194,684.00","16,997,086.00",330.62,"55,097.00",76.02,323.84,"374,194,684.00","2,100.00","28,770,000,000.00","29,144,194,684.00",0.00,0.00,Relatively High,"1,057.60",0.00,"25,657.73","26,715.33",77.53,Relatively High,0.00,0.00,61.08,"34,616.87",81.46,Relatively High,December 2025
24046,T15003000107,Hawaii,HI,15,Honolulu,County,003,15003,000107,15003000107,2740,"420,741,753.00","40,385.00",1.18,"3,245.00",76.81,1.18,"420,741,753.00","2,740.00","37,538,000,000.00","37,958,741,753.00",0.00,0.00,Relatively High,"1,121.78",0.00,"34,066.00","35,187.78",85.61,Relatively High,0.00,0.00,54.53,"27,668.30",74.87,Relatively Moderate,December 2025
24047,T15003000108,Hawaii,HI,15,Honolulu,County,003,15003,000108,15003000108,3213,"708,351,504.00",0.00,0.54,"3,093.00",72.00,0.54,"708,351,504.00","3,213.00","44,018,100,000.00","44,726,451,504.00",0.00,0.00,Relatively High,"1,683.47",0.00,"34,937.03","36,620.50",86.61,Relatively High,0.00,0.00,63.39,"37,101.18",83.26,Relatively High,December 2025
24048,T15003000110,Hawaii,HI,15,Honolulu,County,003,15003,000110,15003000110,4254,"738,534,784.00",0.00,3.00,"3,176.00",62.85,2.62,"738,534,784.00","4,254.00","58,279,800,000.00","59,018,334,784.00",0.00,0.00,Relatively High,"1,635.65",0.00,"44,599.32","46,234.97",91.59,Relatively High,0.00,0.00,55.47,"55,117.68",91.72,Relatively High,December 2025
24049,T15003000114,Hawaii,HI,15,Honolulu,County,003,15003,000114,15003000114,1722,"581,702,437.00",0.00,0.75,"4,027.00",78.56,0.48,"581,702,437.00","1,722.00","23,591,400,000.00","24,173,102,437.00",0.00,0.00,Relatively High,"1,507.07",0.00,"21,165.47","22,672.54",72.19,Relatively Moderate,0.00,0.00,73.07,"20,609.57",65.48,Relatively Moderate,December 2025
24050,T15003000115,Hawaii,HI,15,Honolulu,County,003,15003,000115,15003000115,2774,"416,834,188.00",0.00,1.20,"1,939.00",74.45,1.20,"416,834,188.00","2,774.00","38,003,800,000.00","38,420,634,188.00",0.00,0.00,Relatively High,"1,023.27",0.00,"32,060.97","33,084.24",83.95,Relatively High,0.00,0.00,52.78,"37,956.38",83.83,Relatively High,December 2025
24051,T15003000116,Hawaii,HI,15,Honolulu,County,003,15003,000116,15003000116,2500,"332,294,641.00",0.00,0.47,903.00,75.25,0.47,"332,294,641.00","2,500.00","34,250,000,000.00","34,582,294,641.00",0.00,0.00,Relatively High,823.24,0.00,"29,186.82","30,010.06",81.21,Relatively High,0.00,0.00,49.33,"31,590.58",78.86,Relatively High,December 2025
24052,T15003000117,Hawaii,HI,15,Honolulu,County,003,15003,000117,15003000117,1464,"210,911,397.00",0.00,0.34,301.00,75.25,0.34,"210,911,397.00","1,464.00","20,056,800,000.00","20,267,711,397.00",0.00,0.00,Relatively High,522.52,0.00,"17,091.80","17,614.32",63.45,Relatively Moderate,0.00,0.00,51.63,"13,850.21",52.42,Relatively Moderate,December 2025
24053,T15003000118,Hawaii,HI,15,Honolulu,County,003,15003,000118,15003000118,1771,"285,011,674.00","112,491.00",1.07,749.00,79.95,1.07,"285,011,674.00","1,771.00","24,262,700,000.00","24,547,711,674.00",0.00,0.00,Relatively High,765.05,0.00,"22,438.08","23,203.12",72.93,Relatively Moderate,0.00,0.00,55.62,"18,244.71",61.41,Relatively Moderate,December 2025
24054,T15003000119,Hawaii,HI,15,Honolulu,County,003,15003,000119,15003000119,2195,"319,953,943.00",0.00,0.29,"2,268.00",82.07,0.29,"319,953,943.00","2,195.00","30,071,500,000.00","30,391,453,943.00",0.00,0.00,Relatively High,867.50,0.00,"27,871.49","28,738.99",79.89,Relatively High,0.00,0.00,53.16,"22,597.58",68.52,Relatively Moderate,December 2025
24055,T15003000120,Hawaii,HI,15,Honolulu,County,003,15003,000120,15003000120,2624,"504,925,697.00",0.00,0.87,"2,801.00",75.06,0.87,"504,925,697.00","2,624.00","35,948,800,000.00","36,453,725,697.00",0.00,0.00,Relatively High,"1,252.10",0.00,"30,658.69","31,910.78",82.97,Relatively High,0.00,0.00,59.52,"36,952.39",83.16,Relatively High,December 2025
24056,T15003000121,Hawaii,HI,15,Honolulu,County,003,15003,000121,15003000121,2774,"491,381,281.00",0.00,0.32,"1,837.00",79.83,0.32,"491,381,281.00","2,774.00","38,003,800,000.00","38,495,181,281.00",0.00,0.00,Relatively High,"1,271.38",0.00,"35,536.86","36,808.24",86.74,Relatively High,0.00,0.00,56.39,"28,942.47",76.27,Relatively Moderate,December 2025
24057,T15003000122,Hawaii,HI,15,Honolulu,County,003,15003,000122,15003000122,3112,"474,000,379.00","127,332.00",0.46,"2,613.00",77.89,0.46,"474,000,379.00","3,112.00","42,634,400,000.00","43,108,400,379.00",0.00,0.00,Relatively High,"1,221.39",0.00,"37,887.24","39,108.63",88.16,Relatively High,0.00,0.00,53.48,"46,578.82",88.57,Relatively High,December 2025
24058,T15003000200,Hawaii,HI,15,Honolulu,County,003,15003,000200,15003000200,5745,"1,095,076,869.00",0.00,4.18,"8,665.00",74.51,3.97,"1,095,076,869.00","5,745.00","78,706,500,000.00","79,801,576,869.00",0.00,0.00,Relatively High,"2,654.38",0.00,"64,739.14","67,393.52",96.19,Very High,0.00,0.00,59.46,"52,991.80",91.04,Relatively High,December 2025
24059,T15003000301,Hawaii,HI,15,Honolulu,County,003,15003,000301,15003000301,3608,"1,051,686,629.00",0.00,3.34,"3,775.00",74.33,3.34,"1,051,686,629.00","3,608.00","49,429,600,000.00","50,481,286,629.00",0.00,0.00,Relatively High,"2,596.65",0.00,"41,643.22","44,239.87",90.77,Relatively High,0.00,0.00,69.74,"49,043.04",89.63,Relatively High,December 2025
24060,T15003000302,Hawaii,HI,15,Honolulu,County,003,15003,000302,15003000302,2702,"632,621,262.00",0.00,0.93,"5,621.00",76.73,0.71,"632,621,262.00","2,702.00","37,017,400,000.00","37,650,021,262.00",0.00,0.00,Relatively High,"1,591.75",0.00,"31,909.16","33,500.91",84.31,Relatively High,0.00,0.00,64.61,"26,341.90",73.36,Relatively Moderate,December 2025
24061,T15003000401,Hawaii,HI,15,Honolulu,County,003,15003,000401,15003000401,2758,"627,754,965.00",0.00,2.41,"3,631.00",77.45,2.41,"627,754,965.00","2,758.00","37,784,600,000.00","38,412,354,965.00",0.00,0.00,Relatively High,"1,579.85",0.00,"32,690.22","34,270.07",84.92,Relatively High,0.00,0.00,63.85,"49,010.09",89.61,Relatively High,December 2025
24062,T15003000402,Hawaii,HI,15,Honolulu,County,003,15003,000402,15003000402,4147,"1,381,442,795.00",0.00,1.17,"3,199.00",74.71,1.17,"1,381,442,795.00","4,147.00","56,813,900,000.00","58,195,342,795.00",0.00,0.00,Relatively High,"3,406.00",0.00,"48,126.40","51,532.41",93.22,Relatively High,0.00,0.00,72.57,"52,338.42",90.83,Relatively High,December 2025
24063,T15003000500,Hawaii,HI,15,Honolulu,County,003,15003,000500,15003000500,3872,"1,555,396,221.00",0.00,1.53,"9,305.00",85.42,1.12,"1,555,396,221.00","3,872.00","53,046,400,000.00","54,601,796,221.00",0.00,0.00,Relatively High,"4,439.09",0.00,"51,697.47","56,136.56",94.30,Relatively High,0.00,0.00,77.97,"53,810.04",91.33,Relatively High,December 2025
24064,T15003000600,Hawaii,HI,15,Honolulu,County,003,15003,000600,15003000600,1276,"607,852,535.00",0.00,1.54,"3,154.00",79.46,1.21,"607,852,535.00","1,276.00","17,481,200,000.00","18,089,052,535.00",0.00,0.00,Relatively High,"1,603.37",0.00,"15,849.30","17,452.67",63.17,Relatively Moderate,0.00,0.00,80.55,"18,272.13",61.46,Relatively Moderate,December 2025
24065,T15003000700,Hawaii,HI,15,Honolulu,County,003,15003,000700,15003000700,3215,"603,550,524.00",0.00,0.38,"2,300.00",92.00,0.38,"603,550,524.00","3,215.00","44,045,500,000.00","44,649,050,524.00",0.00,0.00,Relatively High,"1,828.10",0.00,"45,889.05","47,717.15",92.11,Relatively High,0.00,0.00,60.65,"42,050.84",86.36,Relatively High,December 2025
24066,T15003000800,Hawaii,HI,15,Honolulu,County,003,15003,000800,15003000800,3770,"988,495,965.00",0.00,0.44,"4,671.00",88.05,0.44,"988,495,965.00","3,770.00","51,649,000,000.00","52,637,495,965.00",0.00,0.00,Relatively High,"2,841.89",0.00,"52,112.88","54,954.77",94.06,Relatively High,0.00,0.00,68.09,"65,209.17",94.12,Relatively High,December 2025
24067,T15003000901,Hawaii,HI,15,Honolulu,County,003,15003,000901,15003000901,2613,"376,119,907.00",0.00,0.33,"2,477.00",77.72,0.33,"376,119,907.00","2,613.00","35,798,100,000.00","36,174,219,907.00",0.00,0.00,Relatively High,981.63,0.00,"31,942.67","32,924.30",83.82,Relatively High,0.00,0.00,52.36,"32,531.94",79.74,Relatively High,December 2025
24068,T15003000903,Hawaii,HI,15,Honolulu,County,003,15003,000903,15003000903,3039,"442,498,564.00",0.00,0.24,"3,726.00",80.74,0.24,"442,498,564.00","3,039.00","41,634,300,000.00","42,076,798,564.00",0.00,0.00,Relatively High,"1,172.86",0.00,"37,954.81","39,127.67",88.17,Relatively High,0.00,0.00,52.71,"39,131.37",84.62,Relatively High,December 2025
24069,T15003000904,Hawaii,HI,15,Honolulu,County,003,15003,000904,15003000904,1975,"354,072,809.00",0.00,0.25,759.00,78.77,0.25,"354,072,809.00","1,975.00","27,057,500,000.00","27,411,572,809.00",0.00,0.00,Relatively High,907.82,0.00,"23,750.97","24,658.79",75.04,Relatively Moderate,0.00,0.00,58.14,"19,389.31",63.43,Relatively Moderate,December 2025
24070,T15003000905,Hawaii,HI,15,Honolulu,County,003,15003,000905,15003000905,2357,"490,748,993.00",0.00,0.33,897.00,69.00,0.33,"490,748,993.00","2,357.00","32,290,900,000.00","32,781,648,993.00",0.00,0.00,Relatively High,"1,114.83",0.00,"25,231.84","26,346.66",77.11,Relatively High,0.00,0.00,60.79,"28,005.55",75.26,Relatively Moderate,December 2025
24071,T15003001000,Hawaii,HI,15,Honolulu,County,003,15003,001000,15003001000,3145,"326,647,639.00","15,612.00",3.28,"2,172.00",77.64,3.28,"326,647,639.00","3,145.00","43,086,500,000.00","43,413,147,639.00",0.00,0.00,Relatively High,870.94,0.00,"39,520.49","40,391.43",88.92,Relatively High,0.00,0.00,43.26,"37,105.17",83.27,Relatively High,December 2025
24072,T15003001101,Hawaii,HI,15,Honolulu,County,003,15003,001101,15003001101,1961,"169,190,035.00",0.00,0.12,529.00,74.72,0.12,"169,190,035.00","1,961.00","26,865,700,000.00","27,034,890,035.00",0.00,0.00,Relatively High,410.04,0.00,"23,226.42","23,636.47",73.55,Relatively Moderate,0.00,0.00,36.57,"30,785.58",78.08,Relatively High,December 2025
24073,T15003001102,Hawaii,HI,15,Honolulu,County,003,15003,001102,15003001102,2249,"185,074,403.00",0.00,0.20,"1,173.00",77.62,0.20,"185,074,403.00","2,249.00","30,811,300,000.00","30,996,374,403.00",0.00,0.00,Relatively High,472.16,0.00,"27,330.03","27,802.19",78.82,Relatively High,0.00,0.00,36.39,"40,042.38",85.21,Relatively High,December 2025
24074,T15003001201,Hawaii,HI,15,Honolulu,County,003,15003,001201,15003001201,3022,"440,272,231.00",0.00,0.21,"3,547.00",73.27,0.21,"440,272,231.00","3,022.00","41,401,400,000.00","41,841,672,231.00",0.00,0.00,Relatively High,"1,068.69",0.00,"34,303.40","35,372.09",85.76,Relatively High,0.00,0.00,52.00,"34,530.79",81.40,Relatively High,December 2025
24075,T15003001202,Hawaii,HI,15,Honolulu,County,003,15003,001202,15003001202,3254,"339,011,590.00",0.00,0.20,"1,136.00",71.42,0.20,"339,011,590.00","3,254.00","44,579,800,000.00","44,918,811,590.00",0.00,0.00,Relatively High,796.34,0.00,"35,983.60","36,779.95",86.73,Relatively High,0.00,0.00,42.11,"37,927.75",83.81,Relatively High,December 2025
24076,T15003001300,Hawaii,HI,15,Honolulu,County,003,15003,001300,15003001300,4434,"831,364,011.00",0.00,0.36,"8,947.00",78.61,0.36,"831,364,011.00","4,434.00","60,745,800,000.00","61,577,164,011.00",0.00,0.00,Relatively High,"2,149.70",0.00,"54,015.90","56,165.60",94.31,Relatively High,0.00,0.00,59.21,"63,270.67",93.75,Relatively High,December 2025
24077,T15003001400,Hawaii,HI,15,Honolulu,County,003,15003,001400,15003001400,2655,"393,739,190.00",0.00,0.20,"3,443.00",82.09,0.20,"393,739,190.00","2,655.00","36,373,500,000.00","36,767,239,190.00",0.00,0.00,Relatively High,"1,060.89",0.00,"33,721.89","34,782.77",85.31,Relatively High,0.00,0.00,53.41,"27,349.84",74.50,Relatively Moderate,December 2025
24078,T15003001501,Hawaii,HI,15,Honolulu,County,003,15003,001501,15003001501,1473,"189,696,231.00",0.00,0.09,"2,002.00",77.00,0.09,"189,696,231.00","1,473.00","20,180,100,000.00","20,369,796,231.00",0.00,0.00,Relatively High,480.89,0.00,"17,596.80","18,077.69",64.37,Relatively Moderate,0.00,0.00,48.64,"20,552.31",65.39,Relatively Moderate,December 2025
24079,T15003001502,Hawaii,HI,15,Honolulu,County,003,15003,001502,15003001502,2334,"332,852,179.00",0.00,0.13,"2,340.00",77.45,0.13,"332,852,179.00","2,334.00","31,975,800,000.00","32,308,652,179.00",0.00,0.00,Relatively High,848.29,0.00,"28,047.74","28,896.03",80.06,Relatively High,0.00,0.00,51.58,"27,131.21",74.26,Relatively Moderate,December 2025
24080,T15003001601,Hawaii,HI,15,Honolulu,County,003,15003,001601,15003001601,1981,"316,741,887.00",0.00,0.12,"1,540.00",77.00,0.12,"316,741,887.00","1,981.00","27,139,700,000.00","27,456,441,887.00",0.00,0.00,Relatively High,802.96,0.00,"23,665.49","24,468.45",74.77,Relatively Moderate,0.00,0.00,54.74,"26,038.79",72.99,Relatively Moderate,December 2025
24081,T15003001602,Hawaii,HI,15,Honolulu,County,003,15003,001602,15003001602,1784,"242,244,281.00",0.00,0.12,"1,891.00",81.35,0.12,"242,244,281.00","1,784.00","24,440,800,000.00","24,683,044,281.00",0.00,0.00,Relatively High,646.57,0.00,"22,567.60","23,214.16",72.95,Relatively Moderate,0.00,0.00,50.63,"30,799.17",78.09,Relatively High,December 2025
